operator,dataset_id,backend,rows,batch_size,k,retention_ratio,degree,block_size,items_per_thread,temperature,seed,iteration,phase,seconds
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,-1,upload_shared,0.0064521470000000001
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,-1,upload_shared,0.0064521470000000001
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,0,operator,0.046608784
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,0,download,6.9986000000000004e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,0,transform_isolated,0.00019274299999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,0,selection_isolated,0.046420497999999998
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,0,output_isolated,2.0911e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,0,operator,0.0066749640000000002
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,0,download,1.1117e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,0,transform_isolated,0.00019183000000000001
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,0,selection_isolated,0.0064793480000000002
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,0,output_isolated,1.1657e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,1,operator,0.0066741630000000003
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,1,download,1.0475999999999999e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,1,transform_isolated,0.00019154099999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,1,selection_isolated,0.0064786169999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,1,output_isolated,1.0906e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,1,operator,0.046609846000000003
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,1,download,1.9528999999999999e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,1,transform_isolated,0.00019286300000000001
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,1,selection_isolated,0.046410854000000001
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,1,output_isolated,1.986e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,2,operator,0.046608653999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,2,download,2.2123000000000001e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,2,transform_isolated,0.00019292199999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,2,selection_isolated,0.046413246999999998
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-prefetch,38597376,1,32,8.2907190374806823e-07,1,128,4,0,0,2,output_isolated,1.9108999999999999e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,2,operator,0.0066750849999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,2,download,1.1046999999999999e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,2,transform_isolated,0.00019137000000000001
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,2,selection_isolated,0.0064804199999999998
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,2,output_isolated,1.2918999999999999e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,3,operator,0.0066747339999999999
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,3,download,1.2499e-05
gradient-compression,9a73940e35f1757752ed4c0cd9abf2e554e2884d5280d921429875bf192f46b6,bits-sq,38597376,1,32,8.2907190374806823e-07,8,128,4,0,0,3,transform_isolated,0.00019159
