operator,dataset_id,backend,rows,batch_size,k,retention_ratio,degree,block_size,items_per_thread,temperature,seed,iteration,phase,seconds
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,-1,upload_shared,0.000483993
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,-1,upload_shared,0.000483993
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,0,operator,0.002781805
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,0,download,3.3711000000000003e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,0,transform_isolated,1.4902000000000001e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,0,selection_isolated,0.002766882
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,0,output_isolated,9.1030000000000008e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,0,operator,0.00043796299999999998
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,0,download,8.1429999999999998e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,0,transform_isolated,1.4612e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,0,selection_isolated,0.00042124799999999999
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,0,output_isolated,8.0919999999999998e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,1,operator,0.000438415
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,1,download,8.0120000000000005e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,1,transform_isolated,1.4542000000000001e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,1,selection_isolated,0.00042185900000000001
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,1,output_isolated,7.9119999999999998e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,1,operator,0.0027825760000000001
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,1,download,9.5850000000000006e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,1,transform_isolated,1.5013e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,1,selection_isolated,0.0027622649999999999
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,1,output_isolated,8.9230000000000008e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,2,operator,0.0027795509999999999
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,2,download,9.054e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,2,transform_isolated,1.4572e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,2,selection_isolated,0.0027652800000000002
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,2,output_isolated,8.6629999999999999e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,2,operator,0.00043802400000000002
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,2,download,8.9940000000000006e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,2,transform_isolated,1.4642e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,2,selection_isolated,0.00042123799999999999
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,2,output_isolated,8.2020000000000004e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,3,operator,0.00043818399999999999
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,3,download,7.8320000000000006e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,3,transform_isolated,1.4922e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,3,selection_isolated,0.00042097800000000002
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,3,output_isolated,7.661e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,3,operator,0.002781745
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,3,download,9.6350000000000001e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,3,transform_isolated,1.4642e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,3,selection_isolated,0.0027635170000000001
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,3,output_isolated,7.6410000000000002e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,4,operator,0.0027800630000000002
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,4,download,9.8649999999999996e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,4,transform_isolated,1.5213e-05
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,4,selection_isolated,0.0027636269999999998
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-prefetch,2359296,1,32,1.3563368055555555e-05,1,128,4,0,0,4,output_isolated,8.7830000000000004e-06
gradient-compression,e77ffd0b75f255761df3bc4c0830771bb75243da7d366a0e80be0186efb789d4,bits-sq,2359296,1,32,1.3563368055555555e-05,8,128,4,0,0,4,operator,0.000437844
