operator,dataset_id,backend,rows,batch_size,k,retention_ratio,degree,block_size,items_per_thread,temperature,seed,iteration,phase,seconds
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,-1,upload_shared,0.00014063300000000001
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,-1,upload_shared,0.00014063300000000001
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,0,operator,9.8598999999999996e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,0,download,1.9369e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,0,transform_isolated,9.4550000000000001e-06
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,0,selection_isolated,8.2625000000000003e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,0,output_isolated,1.3491e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,0,operator,5.3661e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,0,download,7.9820000000000008e-06
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,0,transform_isolated,8.8040000000000007e-06
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,0,selection_isolated,3.8649000000000002e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,0,output_isolated,1.4292e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,1,operator,5.4993e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,1,download,7.9519999999999994e-06
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,1,transform_isolated,8.7329999999999992e-06
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,1,selection_isolated,3.8228000000000001e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-sq,50257,8,32,0.0006367272220785164,8,128,4,1,42,1,output_isolated,1.4793e-05
token-sampling,1b1ee7bd0ae5fbfbce2b6b7ec2af32e055433daa4e52558b72964d7c106d320c,bits-prefetch,50257,8,32,0.0006367272220785164,1,128,4,1,42,1,operator,9.9411000000000001e-05
