operator,dataset_id,backend,rows,batch_size,k,retention_ratio,degree,block_size,items_per_thread,temperature,seed,iteration,phase,seconds
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,-1,upload_shared,0.0042448039999999996
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,-1,upload_shared,0.0042448039999999996
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,0,operator,0.00021012799999999999
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,0,download,2.05e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,0,transform_isolated,0.000127799
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,0,selection_isolated,7.5018999999999994e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,0,output_isolated,1.942e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,0,operator,0.000224978
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,0,download,1.031e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,0,transform_isolated,0.00012414899999999999
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,0,selection_isolated,8.4289000000000006e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,0,output_isolated,1.9069999999999999e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,1,operator,0.00022133799999999999
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,1,download,1.0210000000000001e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,1,transform_isolated,0.00012557900000000001
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,1,selection_isolated,8.5649999999999995e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-sq,50257,512,32,0.0006367272220785164,8,128,4,1,42,1,output_isolated,1.8998999999999999e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,1,operator,0.00021086799999999999
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,1,download,9.6399999999999992e-06
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,1,transform_isolated,0.00012608899999999999
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,1,selection_isolated,7.3249000000000003e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,1,output_isolated,1.9150000000000001e-05
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,2,operator,0.00021090799999999999
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,2,download,9.4099999999999997e-06
token-sampling,b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,bits-prefetch,50257,512,32,0.0006367272220785164,1,128,4,1,42,2,transform_isolated,0.00012436899999999999
