operator,dataset_id,backend,rows,batch_size,k,retention_ratio,degree,block_size,items_per_thread,temperature,seed,iteration,phase,seconds
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-prefetch,50257,128,32,0.0006367272220785164,1,128,4,1,42,-1,upload_shared,0.0012206840000000001
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,-1,upload_shared,0.0012206840000000001
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-prefetch,50257,128,32,0.0006367272220785164,1,128,4,1,42,0,operator,0.00011879099999999999
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-prefetch,50257,128,32,0.0006367272220785164,1,128,4,1,42,0,download,1.5563999999999999e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-prefetch,50257,128,32,0.0006367272220785164,1,128,4,1,42,0,transform_isolated,3.5814e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-prefetch,50257,128,32,0.0006367272220785164,1,128,4,1,42,0,selection_isolated,7.5675999999999998e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-prefetch,50257,128,32,0.0006367272220785164,1,128,4,1,42,0,output_isolated,1.2388999999999999e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,0,operator,9.5225999999999999e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,0,download,8.6130000000000004e-06
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,0,transform_isolated,3.5463999999999998e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,0,selection_isolated,5.4032e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,0,output_isolated,1.2629000000000001e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,1,operator,9.6718000000000005e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,1,download,8.4330000000000004e-06
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,1,transform_isolated,3.5323e-05
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,bits-sq,50257,128,32,0.0006367272220785164,8,128,4,1,42,1,selection_isolated,5.2920000000000002e-05
