algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,prepare,7.5099999999999999e-07
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8395520057529211e-03
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,distances,6.6610239999999998e-03
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,selection,1.6718364500000000e+00
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,postprocessing,1.5629999999999999e-06
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,finish,1.3656700000000001e-04
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,transfer-out,7.2479997470509261e-05
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,prepare,4.9999999999999998e-08
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8395520057529211e-03
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,distances,6.3968030000000004e-03
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,selection,1.6685904210000000e+00
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,postprocessing,5.2099999999999997e-07
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,finish,6.5408999999999997e-05
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,transfer-out,4.1983999835792929e-05
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,prepare,4.0000000000000001e-08
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8395520057529211e-03
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,distances,6.3996579999999999e-03
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,selection,1.6685955990000001e+00
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,postprocessing,1.5220000000000000e-06
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,finish,1.0626100000000000e-04
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,transfer-out,5.8623998484108597e-05
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,prepare,2.9999999999999997e-08
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8395520057529211e-03
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,distances,6.3962029999999996e-03
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,selection,1.6686122249999999e+00
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,postprocessing,1.6029999999999999e-06
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,finish,1.0148400000000001e-04
