algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,prepare,7.8199999999999999e-07
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,transfer-in,3.0388478189706802e-03
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,distances,4.2674490000000004e-03
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,selection,1.5226899480000000e+00
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,postprocessing,5.6100000000000001e-07
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,finish,1.1387300000000000e-04
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,transfer-out,5.7119999837595969e-05
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,prepare,9.9999999999999995e-08
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,transfer-in,3.0388478189706802e-03
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,distances,4.0150949999999998e-03
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,selection,1.5194779770000000e+00
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,postprocessing,1.5220000000000000e-06
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,finish,1.1949300000000000e-04
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,transfer-out,6.8447996454779059e-05
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,prepare,2.9999999999999997e-08
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,transfer-in,3.0388478189706802e-03
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,distances,4.0129120000000004e-03
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,selection,1.5194730180000000e+00
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,postprocessing,1.9330000000000000e-06
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,finish,1.1769900000000000e-04
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,transfer-out,6.7744003899861127e-05
