algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,prepare,7.4099999999999998e-07
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,distances,8.3007489999999996e-03
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,selection,1.5334611190000000e+00
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,postprocessing,1.0839999999999999e-06
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,finish,1.0905200000000000e-04
partial-bitonic,uniform,identity,0,16777216,64,1,128,32,"1,1,1",1,transfer-out,6.4960004237946123e-05
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,prepare,7.7999999999999997e-08
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,distances,8.0484310000000000e-03
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,selection,1.5294351980000001e+00
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,postprocessing,1.9399999999999999e-07
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,finish,4.7574999999999998e-05
partial-bitonic,uniform,identity,1,16777216,64,1,128,32,"1,1,1",1,transfer-out,3.2320000173058361e-05
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,prepare,1.1899999999999999e-07
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,distances,8.0426319999999992e-03
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,selection,1.5294168150000000e+00
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,postprocessing,6.8899999999999999e-07
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,finish,5.7124999999999999e-05
partial-bitonic,uniform,identity,2,16777216,64,1,128,32,"1,1,1",1,transfer-out,3.2095998903969303e-05
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,prepare,5.5999999999999999e-08
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,distances,8.0226719999999998e-03
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,selection,1.5294383119999999e+00
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,postprocessing,6.4700000000000001e-07
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,finish,5.6224999999999998e-05
partial-bitonic,uniform,identity,3,16777216,64,1,128,32,"1,1,1",1,transfer-out,3.2032003218773752e-05
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,prepare,5.5999999999999999e-08
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,distances,8.0124389999999997e-03
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,selection,1.5294634490000001e+00
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,postprocessing,5.7100000000000002e-07
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,finish,5.5787000000000000e-05
partial-bitonic,uniform,identity,4,16777216,64,1,128,32,"1,1,1",1,transfer-out,3.1936000596033409e-05
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,prepare,4.9000000000000002e-08
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,distances,8.0314810000000000e-03
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,selection,1.5294488660000001e+00
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,postprocessing,4.4999999999999999e-08
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,finish,3.9746999999999997e-05
partial-bitonic,uniform,identity,5,16777216,64,1,128,32,"1,1,1",1,transfer-out,2.6240000806865282e-05
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,prepare,4.3000000000000001e-08
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,distances,8.0275850000000003e-03
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,selection,1.5294544240000001e+00
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,postprocessing,6.6700000000000003e-07
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,finish,5.5386000000000001e-05
partial-bitonic,uniform,identity,6,16777216,64,1,128,32,"1,1,1",1,transfer-out,3.1616000342182815e-05
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,prepare,4.1999999999999999e-08
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,distances,8.0292609999999993e-03
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,selection,1.5294597740000000e+00
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,postprocessing,5.7899999999999998e-07
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,finish,5.4716000000000003e-05
partial-bitonic,uniform,identity,7,16777216,64,1,128,32,"1,1,1",1,transfer-out,3.0560000595869496e-05
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,prepare,5.1000000000000000e-08
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,distances,8.0275239999999994e-03
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,selection,1.5290405970000001e+00
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,postprocessing,7.1000000000000000e-08
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,finish,4.0024000000000002e-05
partial-bitonic,uniform,identity,8,16777216,64,1,128,32,"1,1,1",1,transfer-out,2.7168000087840483e-05
partial-bitonic,uniform,identity,9,16777216,64,1,128,32,"1,1,1",1,prepare,4.3000000000000001e-08
partial-bitonic,uniform,identity,9,16777216,64,1,128,32,"1,1,1",1,transfer-in,1.3641728088259697e-02
