algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,prepare,8.0100000000000004e-07
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,distances,4.2576100000000002e-03
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,selection,1.5714323599999999e-01
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,postprocessing,6.5099999999999999e-07
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,finish,1.0877600000000000e-04
partial-bitonic-regs,uniform,ascending,0,16777216,64,1,512,32,"1,1,1",1,transfer-out,4.8863999836612493e-05
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,prepare,9.9999999999999995e-08
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,distances,4.0119259999999999e-03
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,selection,1.2662720599999999e-01
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,postprocessing,5.3000000000000001e-07
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,finish,5.9589999999999997e-05
partial-bitonic-regs,uniform,ascending,1,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.8591999327763915e-05
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,prepare,2.2999999999999999e-07
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,distances,3.9960719999999998e-03
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,selection,1.2662308999999999e-01
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,postprocessing,7.1099999999999995e-07
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,finish,5.1128000000000002e-05
partial-bitonic-regs,uniform,ascending,2,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.3183998311869800e-05
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,prepare,2.2000000000000001e-07
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,distances,3.9960209999999998e-03
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,selection,1.2662179700000001e-01
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,postprocessing,5.3099999999999998e-07
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,finish,4.9845999999999997e-05
partial-bitonic-regs,uniform,ascending,3,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.2320000173058361e-05
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,prepare,2.2000000000000001e-07
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,distances,4.0056960000000004e-03
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,selection,1.2662605399999999e-01
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,postprocessing,3.1000000000000000e-07
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,finish,5.0837000000000001e-05
partial-bitonic-regs,uniform,ascending,4,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.2672000088496134e-05
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,prepare,2.2100000000000001e-07
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,distances,3.9949499999999997e-03
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,selection,1.2661953400000001e-01
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,postprocessing,5.3000000000000001e-07
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,finish,4.9585000000000000e-05
partial-bitonic-regs,uniform,ascending,5,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.2288000511471182e-05
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,prepare,2.6000000000000000e-07
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,distances,3.9963409999999996e-03
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,selection,1.2663070100000001e-01
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,postprocessing,3.2000000000000001e-07
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,finish,5.1408000000000000e-05
partial-bitonic-regs,uniform,ascending,6,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.3632000850047916e-05
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,prepare,2.2999999999999999e-07
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,transfer-in,3.0992000829428434e-03
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,distances,4.0041440000000003e-03
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,selection,1.2662925899999999e-01
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,postprocessing,3.4999999999999998e-07
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,finish,5.0637000000000003e-05
partial-bitonic-regs,uniform,ascending,7,16777216,64,1,512,32,"1,1,1",1,transfer-out,3.2767999073257670e-05
partial-bitonic-regs,uniform,ascending,8,16777216,64,1,512,32,"1,1,1",1,prepare,2.9999999999999997e-08
