algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,prepare,5.0500000000000004e-07
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,transfer-in,1.3645824044942856e-02
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,distances,8.3522460000000007e-03
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,selection,1.5237891800000000e-01
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,postprocessing,5.5799999999999999e-07
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,finish,7.6351000000000001e-05
partial-bitonic-regs,uniform,descending,0,16777216,64,1,512,32,"1,1,1",1,transfer-out,4.5471999328583479e-05
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,prepare,2.0900000000000001e-07
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,transfer-in,1.3645824044942856e-02
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,distances,8.0419580000000001e-03
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,selection,1.4818419399999999e-01
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,postprocessing,6.8999999999999996e-08
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,finish,4.2678000000000000e-05
partial-bitonic-regs,uniform,descending,1,16777216,64,1,512,32,"1,1,1",1,transfer-out,2.8032000045641325e-05
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,prepare,6.4000000000000004e-08
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,transfer-in,1.3645824044942856e-02
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,distances,8.0292320000000007e-03
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,selection,1.4817224600000001e-01
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,postprocessing,4.0000000000000001e-08
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,finish,3.7716000000000003e-05
partial-bitonic-regs,uniform,descending,2,16777216,64,1,512,32,"1,1,1",1,transfer-out,2.5440000172238797e-05
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,prepare,5.1000000000000000e-08
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,transfer-in,1.3645824044942856e-02
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,distances,8.0182629999999994e-03
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,selection,1.4817300799999999e-01
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,postprocessing,2.3000000000000001e-08
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,finish,3.5800999999999998e-05
partial-bitonic-regs,uniform,descending,3,16777216,64,1,512,32,"1,1,1",1,transfer-out,2.4127999495249242e-05
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,prepare,4.3000000000000001e-08
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,transfer-in,1.3645824044942856e-02
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,distances,8.0084500000000003e-03
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,selection,1.4821738900000000e-01
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,postprocessing,3.8000000000000003e-08
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,finish,3.6776000000000002e-05
partial-bitonic-regs,uniform,descending,4,16777216,64,1,512,32,"1,1,1",1,transfer-out,2.4800001483527012e-05
