algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,prepare,4.7100000000000002e-07
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,distances,5.5962690000000001e-03
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,selection,7.0000000000000005e-08
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,postprocessing,4.0000000000000001e-08
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,finish,1.5820999999999999e-04
baseline-dist,uniform,identity,0,1048576,1024,4,128,1,"1,1,1",1,transfer-out,1.3798399595543742e-04
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,prepare,4.9999999999999998e-08
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,distances,5.5037380000000002e-03
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,selection,1.4000000000000001e-07
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,finish,1.5788999999999999e-04
baseline-dist,uniform,identity,1,1048576,1024,4,128,1,"1,1,1",1,transfer-out,1.4953600475564599e-04
baseline-dist,uniform,identity,2,1048576,1024,4,128,1,"1,1,1",1,prepare,1.4000000000000001e-07
baseline-dist,uniform,identity,2,1048576,1024,4,128,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,128,1,"1,1,1",1,distances,5.5155669999999999e-03
baseline-dist,uniform,identity,2,1048576,1024,4,128,1,"1,1,1",1,selection,2.0000000000000000e-08
