algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,prepare,4.4000000000000002e-07
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,distances,4.5453109999999998e-03
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,selection,8.0000000000000002e-08
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,postprocessing,4.0000000000000001e-08
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,finish,7.5889000000000005e-05
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,transfer-out,5.3440002375282347e-05
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,prepare,8.0000000000000002e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,distances,3.1321460000000001e-03
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,selection,4.9999999999999998e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,finish,5.2599000000000002e-05
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,transfer-out,4.1568000597180799e-05
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,prepare,5.9999999999999995e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,distances,3.1272860000000000e-03
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,finish,4.9499999999999997e-05
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9935999666340649e-05
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,distances,3.1304359999999999e-03
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,selection,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,finish,4.5370000000000001e-05
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.5456003388389945e-05
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,prepare,3.1000000000000000e-08
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,distances,3.1265360000000001e-03
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,selection,2.9999999999999997e-08
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,finish,4.9069000000000001e-05
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9487997128162533e-05
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
