algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,prepare,5.4099999999999999e-07
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,distances,4.8779393999999997e-02
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,selection,1.8000000000000000e-07
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,postprocessing,3.1000000000000000e-08
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,finish,1.3482600000000000e-04
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,transfer-out,1.1155199899803847e-04
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,prepare,8.0000000000000002e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,distances,5.5158259999999997e-03
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,selection,3.1000000000000000e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,finish,1.2644199999999999e-04
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,transfer-out,1.1625600018305704e-04
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,distances,5.5150850000000003e-03
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,finish,1.2562200000000001e-04
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,transfer-out,1.1628799984464422e-04
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
