algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,prepare,1.9600000000000001e-07
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,distances,2.8142385999999998e-02
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,selection,5.7000000000000001e-08
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,postprocessing,4.1999999999999999e-08
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,finish,7.2207999999999997e-05
baseline-dist,uniform,identity,0,1048576,1024,4,256,1,"1,1,1",1,transfer-out,5.2159997721901163e-05
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,prepare,5.5999999999999999e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,distances,2.8059529000000000e-02
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,selection,2.4000000000000000e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7999999999999999e-08
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,finish,5.1873000000000003e-05
baseline-dist,uniform,identity,1,1048576,1024,4,256,1,"1,1,1",1,transfer-out,4.0287999581778422e-05
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,prepare,2.4000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,distances,2.8068942999999999e-02
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,selection,2.4000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,finish,5.0090999999999999e-05
baseline-dist,uniform,identity,2,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8688001950504258e-05
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,prepare,3.7000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,distances,2.8050803999999999e-02
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,selection,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7999999999999999e-08
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,finish,4.9923999999999998e-05
baseline-dist,uniform,identity,3,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9071997889550403e-05
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,prepare,2.0999999999999999e-08
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,distances,2.8059008999999999e-02
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,selection,3.5999999999999998e-08
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.6000000000000001e-08
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,finish,5.0560999999999999e-05
baseline-dist,uniform,identity,4,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9808001019991934e-05
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,prepare,3.4000000000000000e-08
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,distances,2.8062283000000000e-02
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,selection,2.0999999999999999e-08
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7000000000000000e-08
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,finish,4.9438000000000003e-05
baseline-dist,uniform,identity,5,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8559999666176736e-05
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,prepare,4.8000000000000000e-08
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,distances,2.8068077000000000e-02
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,selection,2.9000000000000002e-08
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,finish,5.0127000000000003e-05
baseline-dist,uniform,identity,6,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9104001189116389e-05
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,prepare,3.2999999999999998e-08
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,distances,2.8053043999999999e-02
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,selection,2.1999999999999998e-08
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7999999999999999e-08
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,finish,4.9768000000000002e-05
baseline-dist,uniform,identity,7,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8816000596852973e-05
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,prepare,2.4999999999999999e-08
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,distances,2.8065302000000000e-02
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,selection,3.8000000000000003e-08
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7999999999999999e-08
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,finish,5.3202000000000003e-05
baseline-dist,uniform,identity,8,1048576,1024,4,256,1,"1,1,1",1,transfer-out,4.1855997551465407e-05
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,prepare,3.7000000000000000e-08
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,distances,2.8049986999999998e-02
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,selection,2.0000000000000000e-08
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.9000000000000002e-08
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,finish,5.0064000000000000e-05
baseline-dist,uniform,identity,9,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8975998904788867e-05
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,prepare,2.1999999999999998e-08
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,distances,2.8064853000000001e-02
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,finish,4.9731000000000002e-05
baseline-dist,uniform,identity,10,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8463997043436393e-05
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,prepare,2.1999999999999998e-08
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,distances,2.8057016000000001e-02
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,selection,2.0999999999999999e-08
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7999999999999999e-08
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,finish,5.0037000000000002e-05
baseline-dist,uniform,identity,11,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9391998143400997e-05
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,prepare,4.8000000000000000e-08
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,distances,2.8061214000000001e-02
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,selection,2.3000000000000001e-08
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,finish,5.0158000000000003e-05
baseline-dist,uniform,identity,12,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9328002458205447e-05
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,prepare,4.0000000000000001e-08
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,distances,2.8053551999999999e-02
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,selection,2.0000000000000000e-08
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7000000000000000e-08
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,finish,4.9429999999999999e-05
baseline-dist,uniform,identity,13,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8400001358240843e-05
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,prepare,2.0999999999999999e-08
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,distances,2.8073523999999999e-02
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7999999999999999e-08
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,finish,4.9706000000000001e-05
baseline-dist,uniform,identity,14,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.8848000258440152e-05
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,prepare,3.8999999999999998e-08
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,distances,2.8054653999999998e-02
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,selection,2.0000000000000000e-08
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,postprocessing,2.7999999999999999e-08
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,finish,5.0071000000000002e-05
baseline-dist,uniform,identity,15,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9296002796618268e-05
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,prepare,2.1999999999999998e-08
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,distances,2.8050578999999999e-02
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,selection,3.7000000000000000e-08
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,finish,4.9770000000000000e-05
baseline-dist,uniform,identity,16,1048576,1024,4,256,1,"1,1,1",1,transfer-out,3.9455997466575354e-05
baseline-dist,uniform,identity,17,1048576,1024,4,256,1,"1,1,1",1,prepare,2.0999999999999999e-08
baseline-dist,uniform,identity,17,1048576,1024,4,256,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
