algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,prepare,3.9000000000000002e-07
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,distances,4.8213960000000004e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,selection,5.4420481000000000e-02
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,postprocessing,1.9000000000000001e-07
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,finish,2.5314400000000001e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.8579199968371540e-04
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,prepare,1.9999999999999999e-07
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,distances,4.4479699999999999e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,selection,2.6497240000000000e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,postprocessing,2.6000000000000000e-07
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,finish,1.9987299999999999e-04
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.7888000002130866e-04
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,prepare,2.0000000000000000e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,distances,4.4379850000000002e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,selection,2.6238460000000000e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,postprocessing,4.0000000000000001e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,finish,1.9697800000000000e-04
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.7622399900574237e-04
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,prepare,2.0000000000000000e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,distances,4.4372639999999998e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,selection,2.6412820000000000e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,postprocessing,2.9999999999999997e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,finish,1.9680899999999999e-04
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.7628799832891673e-04
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,prepare,2.9999999999999997e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,distances,4.4365430000000003e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,selection,2.6439760000000001e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,finish,1.9745900000000001e-04
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.7689600645098835e-04
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,prepare,5.9999999999999995e-08
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,distances,4.4364620000000004e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,selection,2.6438260000000002e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,postprocessing,2.9999999999999997e-08
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,finish,1.9777000000000000e-04
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.7635199765209109e-04
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,prepare,2.0000000000000000e-08
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,transfer-in,7.8540801769122481e-04
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,distances,4.5301539999999998e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,selection,2.6624449999999998e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,finish,1.9919200000000000e-04
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"11,1,1",1,transfer-out,1.7801600915845484e-04
bits-prefetch,uniform,identity,7,1048576,1024,4,256,8,"11,1,1",1,prepare,2.9999999999999997e-08
