algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,prepare,5.4000000000000002e-07
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,transfer-in,7.2486401768401265e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,distances,3.6134010000000000e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,selection,3.7897890000000000e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,postprocessing,8.9000000000000003e-08
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,finish,1.0268800000000000e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,128,8,"4,1,1",1,transfer-out,3.7183999666012824e-05
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,prepare,9.9999999999999995e-08
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,transfer-in,7.2486401768401265e-04
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,distances,3.2383339999999998e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,selection,2.8625790000000001e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,postprocessing,5.9999999999999995e-08
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,finish,5.4929000000000002e-05
bits-prefetch,uniform,identity,1,1048576,1024,4,128,8,"4,1,1",1,transfer-out,3.5039996873820201e-05
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,prepare,2.0000000000000000e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,transfer-in,7.2486401768401265e-04
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,distances,3.2207249999999998e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,selection,2.8633389999999999e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,postprocessing,2.9999999999999997e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,finish,4.7219999999999999e-05
bits-prefetch,uniform,identity,2,1048576,1024,4,128,8,"4,1,1",1,transfer-out,2.7871999918716028e-05
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,prepare,2.9999999999999997e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,transfer-in,7.2486401768401265e-04
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,distances,3.2345149999999999e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,selection,2.8794789999999999e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,finish,4.5009999999999998e-05
bits-prefetch,uniform,identity,3,1048576,1024,4,128,8,"4,1,1",1,transfer-out,2.6687999707064591e-05
bits-prefetch,uniform,identity,4,1048576,1024,4,128,8,"4,1,1",1,prepare,2.9999999999999997e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,128,8,"4,1,1",1,transfer-in,7.2486401768401265e-04
bits-prefetch,uniform,identity,4,1048576,1024,4,128,8,"4,1,1",1,distances,3.2324360000000000e-03
