algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,prepare,6.7999999999999995e-07
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,transfer-in,2.8680639807134867e-03
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,distances,1.8000000000000000e-07
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,selection,3.3442632000000000e-02
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,postprocessing,1.9999999999999999e-07
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,finish,6.1839000000000002e-05
fused-cache,uniform,identity,0,4194304,256,4,1,8,"4,4,1",4,transfer-out,3.2159998227143660e-05
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,prepare,1.9000000000000001e-07
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,transfer-in,2.8680639807134867e-03
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,distances,7.0000000000000005e-08
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,selection,5.4757119999999998e-03
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,postprocessing,2.9999999999999997e-08
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,finish,3.4218999999999999e-05
fused-cache,uniform,identity,1,4194304,256,4,1,8,"4,4,1",4,transfer-out,2.3263999537448399e-05
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,prepare,4.0000000000000001e-08
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,transfer-in,2.8680639807134867e-03
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,distances,1.3000000000000000e-07
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,selection,5.4689509999999997e-03
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,postprocessing,4.0000000000000001e-08
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,finish,3.2469999999999999e-05
fused-cache,uniform,identity,2,4194304,256,4,1,8,"4,4,1",4,transfer-out,2.2367999918060377e-05
fused-cache,uniform,identity,3,4194304,256,4,1,8,"4,4,1",4,prepare,4.0000000000000001e-08
fused-cache,uniform,identity,3,4194304,256,4,1,8,"4,4,1",4,transfer-in,2.8680639807134867e-03
fused-cache,uniform,identity,3,4194304,256,4,1,8,"4,4,1",4,distances,2.0000000000000000e-08
