algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,prepare,4.0100000000000000e-07
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,distances,3.2884680000000001e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,selection,5.9283725000000002e-02
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,postprocessing,1.0100000000000000e-07
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,finish,1.3773999999999999e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,256,8,"16,1,1",1,transfer-out,6.8736000685021281e-05
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,prepare,7.0000000000000005e-08
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,distances,2.8833299999999999e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,selection,2.2483510000000000e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,postprocessing,1.3000000000000000e-07
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,finish,7.8780000000000001e-05
bits-prefetch,uniform,identity,1,1048576,1024,4,256,8,"16,1,1",1,transfer-out,6.0704001953126863e-05
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,prepare,2.0000000000000000e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,distances,2.8865549999999999e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,selection,2.2348500000000000e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,finish,7.7027999999999995e-05
bits-prefetch,uniform,identity,2,1048576,1024,4,256,8,"16,1,1",1,transfer-out,5.9392001276137307e-05
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,prepare,2.9999999999999997e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,distances,2.8765190000000001e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,selection,2.2423510000000001e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,postprocessing,2.9999999999999997e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,finish,8.2455999999999998e-05
bits-prefetch,uniform,identity,3,1048576,1024,4,256,8,"16,1,1",1,transfer-out,6.5696003730408847e-05
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,prepare,2.9999999999999997e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,distances,2.8752270000000002e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,selection,2.2425020000000000e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,finish,7.9621000000000002e-05
bits-prefetch,uniform,identity,4,1048576,1024,4,256,8,"16,1,1",1,transfer-out,6.1279999499674886e-05
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,prepare,2.0000000000000000e-08
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,distances,2.8748870000000000e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,selection,2.2392570000000001e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,finish,8.1343999999999999e-05
bits-prefetch,uniform,identity,5,1048576,1024,4,256,8,"16,1,1",1,transfer-out,6.3615996623411775e-05
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,prepare,4.0000000000000001e-08
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,distances,2.8744259999999998e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,selection,2.2379150000000000e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,finish,8.3747999999999998e-05
bits-prefetch,uniform,identity,6,1048576,1024,4,256,8,"16,1,1",1,transfer-out,6.6207998315803707e-05
bits-prefetch,uniform,identity,7,1048576,1024,4,256,8,"16,1,1",1,prepare,2.9999999999999997e-08
bits-prefetch,uniform,identity,7,1048576,1024,4,256,8,"16,1,1",1,transfer-in,7.2592002106830478e-04
bits-prefetch,uniform,identity,7,1048576,1024,4,256,8,"16,1,1",1,distances,2.8816670000000001e-03
