algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,prepare,2.4999999999999999e-07
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,transfer-in,2.1094399562571198e-04
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,distances,3.2000000000000001e-07
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,selection,3.7746686000000002e-02
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,postprocessing,2.1000000000000000e-07
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,finish,4.3189999999999998e-05
fused-regs-tunable,uniform,identity,0,262144,256,4,4,8,"2,4,1",1,transfer-out,3.0239998523029499e-05
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,prepare,1.9100000000000000e-07
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,transfer-in,2.1094399562571198e-04
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,distances,1.8000000000000000e-07
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,selection,1.4731750000000000e-03
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,postprocessing,4.0000000000000001e-08
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,finish,3.2518999999999998e-05
fused-regs-tunable,uniform,identity,1,262144,256,4,4,8,"2,4,1",1,transfer-out,2.1919999198871665e-05
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,prepare,4.0000000000000001e-08
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,transfer-in,2.1094399562571198e-04
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,distances,2.9999999999999997e-08
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,selection,1.4683940000000000e-03
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,postprocessing,1.6000000000000000e-07
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,finish,2.4850000000000001e-05
fused-regs-tunable,uniform,identity,2,262144,256,4,4,8,"2,4,1",1,transfer-out,1.6320000213454477e-05
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,prepare,2.9999999999999997e-08
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,transfer-in,2.1094399562571198e-04
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,distances,2.0000000000000000e-08
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,selection,1.4679640000000000e-03
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,postprocessing,4.0000000000000001e-08
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,finish,3.0570000000000000e-05
fused-regs-tunable,uniform,identity,3,262144,256,4,4,8,"2,4,1",1,transfer-out,2.0735998987220228e-05
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,prepare,4.0000000000000001e-08
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,transfer-in,2.1094399562571198e-04
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,distances,2.0000000000000000e-08
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,selection,1.4688640000000001e-03
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,postprocessing,2.0000000000000000e-08
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,finish,2.8589999999999999e-05
fused-regs-tunable,uniform,identity,4,262144,256,4,4,8,"2,4,1",1,transfer-out,1.8751999959931709e-05
fused-regs-tunable,uniform,identity,5,262144,256,4,4,8,"2,4,1",1,prepare,2.9999999999999997e-08
fused-regs-tunable,uniform,identity,5,262144,256,4,4,8,"2,4,1",1,transfer-in,2.1094399562571198e-04
fused-regs-tunable,uniform,identity,5,262144,256,4,4,8,"2,4,1",1,distances,2.0000000000000000e-08
fused-regs-tunable,uniform,identity,5,262144,256,4,4,8,"2,4,1",1,selection,1.4685350000000000e-03
fused-regs-tunable,uniform,identity,5,262144,256,4,4,8,"2,4,1",1,postprocessing,4.0000000000000001e-08
fused-regs-tunable,uniform,identity,5,262144,256,4,4,8,"2,4,1",1,finish,2.8050000000000001e-05
