algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,prepare,6.9100000000000003e-07
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,distances,7.7810040000000002e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,selection,5.4438309999999997e-03
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,postprocessing,7.4999999999999997e-08
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,finish,1.4066299999999999e-04
bits-prefetch,uniform,identity,0,1048576,1024,4,512,8,"4,1,1",1,transfer-out,6.4896004914771765e-05
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,prepare,8.6000000000000002e-08
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,distances,7.4130730000000001e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,selection,5.1506859999999998e-03
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,postprocessing,3.8999999999999998e-08
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,finish,6.7434000000000005e-05
bits-prefetch,uniform,identity,1,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.7231998905772343e-05
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,prepare,4.1000000000000003e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,distances,7.4444569999999998e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,selection,5.1653549999999999e-03
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.3000000000000001e-08
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,finish,6.9031999999999999e-05
bits-prefetch,uniform,identity,2,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.5984001189935952e-05
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,prepare,5.1000000000000000e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,distances,7.4543659999999996e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,selection,5.1904840000000004e-03
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,postprocessing,4.0000000000000001e-08
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,finish,6.7334000000000003e-05
bits-prefetch,uniform,identity,3,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6720000682398677e-05
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,prepare,3.4000000000000000e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,distances,7.4991709999999998e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,selection,5.1693549999999996e-03
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.1999999999999998e-08
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,finish,7.1369000000000001e-05
bits-prefetch,uniform,identity,4,1048576,1024,4,512,8,"4,1,1",1,transfer-out,5.0080001528840512e-05
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,prepare,4.9000000000000002e-08
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,distances,7.4593999999999997e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,selection,5.1926139999999999e-03
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,postprocessing,3.8999999999999998e-08
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,finish,6.8849000000000004e-05
bits-prefetch,uniform,identity,5,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.8064001020975411e-05
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,prepare,5.1000000000000000e-08
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,distances,7.4674880000000004e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,selection,5.1466910000000001e-03
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.3000000000000001e-08
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,finish,7.1049000000000004e-05
bits-prefetch,uniform,identity,6,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.9727997975423932e-05
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,prepare,3.5999999999999998e-08
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,distances,7.5580530000000003e-03
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,selection,5.1921420000000003e-03
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,postprocessing,3.8999999999999998e-08
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,finish,6.8244999999999995e-05
bits-prefetch,uniform,identity,7,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6784000005573034e-05
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,prepare,4.9000000000000002e-08
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,distances,7.5040580000000001e-03
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,selection,5.1710760000000001e-03
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.3000000000000001e-08
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,finish,6.7657999999999995e-05
bits-prefetch,uniform,identity,8,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.7327997890533879e-05
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,prepare,4.8000000000000000e-08
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,distances,7.5130529999999996e-03
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,selection,5.1605760000000001e-03
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,postprocessing,4.0000000000000001e-08
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,finish,6.6624000000000005e-05
bits-prefetch,uniform,identity,9,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6527999074896798e-05
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,prepare,3.5000000000000002e-08
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,distances,7.4254359999999997e-03
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,selection,5.1610980000000002e-03
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.4000000000000000e-08
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,finish,6.6654000000000003e-05
bits-prefetch,uniform,identity,10,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6271998144220561e-05
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,prepare,4.9000000000000002e-08
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,distances,7.4233700000000003e-03
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,selection,5.1388600000000003e-03
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,postprocessing,3.8999999999999998e-08
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,finish,6.9517999999999994e-05
bits-prefetch,uniform,identity,11,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6815999667160213e-05
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,prepare,4.9000000000000002e-08
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,distances,7.4313820000000003e-03
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,selection,5.1879409999999997e-03
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.3000000000000001e-08
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,finish,6.6560000000000000e-05
bits-prefetch,uniform,identity,12,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.5728000259259716e-05
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,prepare,4.0000000000000001e-08
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,distances,7.4400760000000003e-03
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,selection,5.1717409999999997e-03
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,postprocessing,4.6000000000000002e-08
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,finish,6.6357000000000002e-05
bits-prefetch,uniform,identity,13,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.5503998990170658e-05
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,prepare,4.9999999999999998e-08
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,distances,7.4945819999999996e-03
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,selection,5.1573840000000001e-03
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.3000000000000001e-08
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,finish,6.8357999999999998e-05
bits-prefetch,uniform,identity,14,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.7327997890533879e-05
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,prepare,4.3999999999999997e-08
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,distances,7.5240619999999998e-03
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,selection,5.1441780000000001e-03
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,postprocessing,4.6000000000000002e-08
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,finish,6.7403000000000005e-05
bits-prefetch,uniform,identity,15,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6879998990334570e-05
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,prepare,4.0000000000000001e-08
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,distances,7.4454439999999998e-03
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,selection,5.1743020000000004e-03
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.4000000000000000e-08
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,finish,6.7387999999999999e-05
bits-prefetch,uniform,identity,16,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6784000005573034e-05
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,prepare,4.1999999999999999e-08
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,distances,7.4793930000000000e-03
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,selection,5.1934110000000002e-03
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,postprocessing,3.8999999999999998e-08
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,finish,6.6502999999999997e-05
bits-prefetch,uniform,identity,17,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.5343997044255957e-05
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,prepare,4.4999999999999999e-08
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,distances,7.4972249999999997e-03
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,selection,5.1490379999999999e-03
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,postprocessing,2.4000000000000000e-08
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,finish,7.3598999999999998e-05
bits-prefetch,uniform,identity,18,1048576,1024,4,512,8,"4,1,1",1,transfer-out,5.2735998906427994e-05
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,prepare,3.5999999999999998e-08
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,transfer-in,3.4744320437312126e-03
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,distances,7.4733930000000000e-03
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,selection,5.1765709999999996e-03
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,postprocessing,3.8999999999999998e-08
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,finish,6.6452999999999995e-05
bits-prefetch,uniform,identity,19,1048576,1024,4,512,8,"4,1,1",1,transfer-out,4.6368000766960904e-05
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,prepare,4.5800000000000000e-07
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,transfer-in,3.4498560708016157e-03
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,distances,2.6899999999999999e-07
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,selection,1.6261036999999999e-02
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,postprocessing,2.2499999999999999e-07
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,finish,1.3651200000000001e-04
rapidsai-fused,uniform,identity,0,1048576,1024,4,256,8,"1,1,1",1,transfer-out,6.0128000768600032e-05
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,prepare,6.8000000000000000e-08
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,transfer-in,3.4498560708016157e-03
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,distances,6.4000000000000004e-08
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,selection,1.2190064000000000e-02
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,postprocessing,2.4000000000000000e-08
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,finish,6.8026000000000002e-05
rapidsai-fused,uniform,identity,1,1048576,1024,4,256,8,"1,1,1",1,transfer-out,4.7392000851687044e-05
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,prepare,4.1000000000000003e-08
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,transfer-in,3.4498560708016157e-03
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,distances,4.9999999999999998e-08
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,selection,1.2204858000000001e-02
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,postprocessing,2.3000000000000001e-08
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,finish,7.2052999999999996e-05
rapidsai-fused,uniform,identity,2,1048576,1024,4,256,8,"1,1,1",1,transfer-out,5.1456001529004425e-05
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,prepare,2.4000000000000000e-08
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,transfer-in,3.4498560708016157e-03
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,distances,3.8000000000000003e-08
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,selection,1.2303936000000000e-02
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,postprocessing,2.3000000000000001e-08
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,finish,6.6674999999999994e-05
rapidsai-fused,uniform,identity,3,1048576,1024,4,256,8,"1,1,1",1,transfer-out,4.7040000936249271e-05
rapidsai-fused,uniform,identity,4,1048576,1024,4,256,8,"1,1,1",1,prepare,2.4000000000000000e-08
