algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,prepare,3.7099999999999997e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,distances,6.7482949999999996e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,selection,7.9498040000000006e-02
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,postprocessing,3.1000000000000000e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,finish,7.4172999999999996e-05
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-out,4.2304000089643523e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,prepare,2.7099999999999998e-07
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,distances,6.3966700000000001e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,selection,4.2676349999999997e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,finish,4.2945000000000003e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.8511998607427813e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,prepare,3.1000000000000000e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,distances,6.3834920000000002e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,selection,4.2700699999999999e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,finish,3.7836999999999997e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4576000214437954e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,prepare,2.0000000000000000e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,distances,6.3847130000000002e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,selection,4.2656029999999998e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,postprocessing,9.9999999999999995e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,finish,3.6464999999999997e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2943999283597805e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,prepare,4.0000000000000001e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,distances,6.3832810000000002e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,selection,4.2903400000000001e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,finish,3.6785000000000001e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3231999875861220e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,distances,6.3845930000000000e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,selection,4.2653420000000001e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.9999999999999997e-08
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,finish,3.8207999999999997e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4671999199199490e-05
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,prepare,1.9000000000000001e-07
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,distances,6.3838109999999997e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,selection,4.2784520000000003e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,finish,3.8058000000000001e-05
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4255999960587360e-05
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,distances,6.3810480000000003e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,selection,4.2820269999999999e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.9999999999999997e-08
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,finish,3.6124999999999997e-05
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3871998564573005e-05
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,prepare,2.0000000000000000e-08
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,distances,6.3803260000000004e-03
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,selection,4.2851720000000003e-03
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.9999999999999997e-08
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,finish,3.6455000000000002e-05
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3263999537448399e-05
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,distances,6.3801350000000003e-03
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,selection,4.2814860000000001e-03
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,finish,3.6395000000000000e-05
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2463998902821913e-05
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,prepare,4.0000000000000001e-08
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,distances,6.4091800000000004e-03
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,selection,4.2863739999999999e-03
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,finish,3.7676999999999999e-05
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.5024000933626667e-05
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,prepare,2.0000000000000000e-08
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,distances,6.4105120000000002e-03
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,selection,4.2844010000000002e-03
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.0100000000000000e-07
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,finish,3.7305999999999998e-05
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2911999622010626e-05
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,prepare,2.0000000000000000e-08
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,distances,6.4125349999999996e-03
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,selection,4.2850020000000004e-03
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.3000000000000000e-07
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,finish,3.7166000000000003e-05
bits,uniform,identity,12,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3328000679612160e-05
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,prepare,3.1000000000000000e-08
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,distances,6.4154190000000003e-03
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,selection,4.3006859999999997e-03
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,finish,3.5874000000000002e-05
bits,uniform,identity,13,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3071999748935923e-05
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,prepare,1.5099999999999999e-07
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,distances,6.4144079999999999e-03
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,selection,4.2926040000000002e-03
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.9999999999999997e-08
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,finish,3.8849000000000000e-05
bits,uniform,identity,14,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.5183999241562560e-05
bits,uniform,identity,15,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,15,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8743678703904152e-03
bits,uniform,identity,15,16777216,64,1,512,32,"16,1,1",1,distances,6.4135269999999996e-03
bits,uniform,identity,15,16777216,64,1,512,32,"16,1,1",1,selection,4.2863340000000002e-03
bits,uniform,identity,15,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.0000000000000000e-08
bits,uniform,identity,15,16777216,64,1,512,32,"16,1,1",1,finish,3.5023000000000000e-05
