algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,prepare,4.4000000000000002e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8631680179387331e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,distances,3.4624629999999998e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,selection,8.3047220000000005e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.1999999999999999e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,finish,7.1469000000000003e-05
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-out,3.4880002203863114e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,prepare,2.1000000000000000e-07
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8631680179387331e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,distances,3.0651670000000002e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,selection,3.6203619999999998e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.9999999999999998e-08
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,finish,3.4938999999999999e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3808001060388051e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,prepare,4.0000000000000001e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8631680179387331e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,distances,3.0793169999999998e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,selection,3.6228520000000002e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,finish,3.4248999999999997e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2719999833498150e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,prepare,1.6000000000000000e-07
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8631680179387331e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,distances,3.0682270000000002e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,selection,3.6160620000000002e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.9999999999999998e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,finish,3.4000000000000000e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2559999706572853e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,prepare,1.1999999999999999e-07
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8631680179387331e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,distances,3.0720970000000002e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,selection,3.6246820000000002e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,finish,3.4539999999999998e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.3615999452886172e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,prepare,4.0000000000000001e-08
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-in,2.8631680179387331e-03
