algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,prepare,6.0100000000000005e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,distances,4.3665639999999999e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,selection,1.5684541199999999e-01
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,postprocessing,6.5099999999999999e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,finish,7.5063999999999998e-05
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-out,4.7519999498035759e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,prepare,2.5100000000000001e-07
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,distances,3.9822260000000002e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,selection,3.3393849999999998e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.9999999999999998e-08
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,finish,3.5513999999999999e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4064000172074884e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,distances,3.9779500000000001e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,selection,3.3317440000000002e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,postprocessing,3.1000000000000000e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,finish,3.2279000000000000e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.1535999621846713e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,distances,3.9792220000000001e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,selection,3.3376529999999999e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,finish,3.3130999999999998e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2879999960423447e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,prepare,2.0000000000000000e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,distances,3.9776100000000003e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,selection,3.3402869999999999e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,finish,3.0195000000000001e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.0511999537120573e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,distances,3.9821570000000001e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,selection,3.3343880000000002e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.9000000000000001e-07
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,finish,3.2940000000000000e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2816000637249090e-05
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,distances,3.9777099999999998e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,selection,3.3405470000000001e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,finish,3.1928999999999999e-05
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.0608000340871513e-05
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,distances,3.9857520000000004e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,selection,3.3373620000000000e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.6999999999999999e-07
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,finish,3.2029000000000001e-05
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.1088000721647404e-05
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,prepare,1.8000000000000000e-07
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,distances,3.9813649999999997e-03
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,selection,3.3280490000000000e-03
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.9999999999999997e-08
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,finish,3.1448000000000001e-05
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.0896000933134928e-05
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,prepare,2.9100000000000000e-07
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,distances,3.9784809999999999e-03
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,selection,3.3314429999999999e-03
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,finish,3.2199000000000001e-05
bits,uniform,identity,9,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.2336000256473199e-05
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,prepare,2.9000000000000002e-08
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,distances,3.9832590000000003e-03
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,selection,3.3352989999999999e-03
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.0000000000000001e-08
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,finish,3.1248000000000003e-05
bits,uniform,identity,10,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.1247999029583298e-05
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,prepare,2.9999999999999997e-08
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,transfer-in,3.0821759719401598e-03
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,distances,3.9842599999999999e-03
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,selection,3.3400069999999999e-03
bits,uniform,identity,11,16777216,64,1,512,32,"16,1,1",1,postprocessing,2.1000000000000000e-07
