file,dataset,dim,query_count,point_count,situation,k,sota,proposed,speedup
data/kselection-volta05-108425.csv,Uniform,1,64,16777216,max_speedup,512,89114969036.88754,200365907601.1203,2.248397881597001
data/kselection-volta05-108425.csv,Uniform,1,64,16777216,min_speedup,64,128224731641.95374,208478138772.2217,1.625880874169909
data/kselection-volta05-108425.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.9726709626860395
data/kselection-volta05-108425.csv,Uniform,1,64,16777216,max_relative_throughput,32,241591910400.0,210775263725.29404,0.8724433834573214
data/kselection-volta05-108425.csv,Uniform,1,64,16777216,min_relative_throughput,1024,241591910400.0,194211844981.53857,0.8038838910623498
data/kselection-volta05-108425.csv,Uniform,1,64,16777216,avg_relative_throughput,0,241591910400.0,202946858955.9494,0.8400399608576853
data/kselection-volta05-108425.csv,Uniform,1,256,4194304,max_speedup,64,91450233919.7688,211893565175.10883,2.3170368854497134
data/kselection-volta05-108425.csv,Uniform,1,256,4194304,min_speedup,2048,89597814689.53067,190465668202.111,2.1257847511359733
data/kselection-volta05-108425.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,2.2639829666852656
data/kselection-volta05-108425.csv,Uniform,1,256,4194304,max_relative_throughput,64,241591910400.0,211893565175.10883,0.8770722696148224
data/kselection-volta05-108425.csv,Uniform,1,256,4194304,min_relative_throughput,2048,241591910400.0,190465668202.111,0.7883776732704333
data/kselection-volta05-108425.csv,Uniform,1,256,4194304,avg_relative_throughput,0,241591910400.0,205802452895.39932,0.8518598679676624
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,max_speedup,512,73337683244.43327,194708131602.9906,2.654953401705255
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,min_speedup,32,97901499591.59605,207252829937.0987,2.116952557434467
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,avg_speedup,0,0,0,2.4118377057999956
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,max_relative_throughput,32,241591910400.0,207252829937.0987,0.8578632852149453
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,min_relative_throughput,2048,241591910400.0,172705842402.86505,0.7148659991012061
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,avg_relative_throughput,0,241591910400.0,196715283860.3733,0.8142461539158112
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,max_speedup,512,86641184375.73242,193627423485.4334,2.2348196747373534
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,min_speedup,32,137868759882.40845,214179747555.40503,1.5535045628762023
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,avg_speedup,0,0,0,1.887038357168402
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,max_relative_throughput,32,241591910400.0,214179747555.40503,0.8865352618835247
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,min_relative_throughput,2048,241591910400.0,118706898523.59555,0.4913529527005038
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,avg_relative_throughput,0,241591910400.0,187722505448.67288,0.7770231426121166
data/kselection-volta05-108425.csv,Uniform,1,1024,1048576,global_max_speedup,512,73337683244.43327,194708131602.9906,2.654953401705255
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,global_min_speedup,32,137868759882.40845,214179747555.40503,1.5535045628762023
data/kselection-volta05-108425.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,2.1338824980849256
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,global_max_relative_throughput,32,241591910400.0,214179747555.40503,0.8865352618835247
data/kselection-volta05-108425.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,241591910400.0,118706898523.59555,0.4913529527005038
data/kselection-volta05-108425.csv,Uniform,1,0,0,global_avg_relative_throughput,0,241591910400.0,198296775290.09875,0.8207922813383189
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,max_speedup,1024,179678238044.46207,355120786139.3921,1.976426249524531
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,min_speedup,32,365425916635.5634,372857640566.6646,1.0203371561588304
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.3979584272338326
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,max_relative_throughput,32,428691423232.0,372857640566.6646,0.8697576400190327
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,min_relative_throughput,2048,428691423232.0,337543293577.47754,0.7873805615999115
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,avg_relative_throughput,0,428691423232.0,358421081971.5723,0.8360817654558051
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,max_speedup,1024,180249815472.30536,369876843421.664,2.0520234234497403
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,min_speedup,32,354042510088.35126,373038993858.8368,1.0536559402591088
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,1.5086576927296427
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,max_relative_throughput,32,428691423232.0,373038993858.8368,0.8701806792550522
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,min_relative_throughput,2048,428691423232.0,364289122405.13055,0.8497700272580072
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,avg_relative_throughput,0,428691423232.0,370834169054.4729,0.8650375280631266
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,max_speedup,1024,186865492019.93433,366770257153.08215,1.962750067914926
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,min_speedup,32,364278345447.5394,373848251027.9469,1.0262708604560347
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,avg_speedup,0,0,0,1.434699567404066
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,max_relative_throughput,32,428691423232.0,373848251027.9469,0.8720684174398027
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,min_relative_throughput,2048,428691423232.0,354178748638.2775,0.8261857584367915
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,avg_relative_throughput,0,428691423232.0,369566150740.959,0.8620796468348202
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,max_speedup,1024,182398229421.63684,359660609104.0733,1.971842655734732
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,min_speedup,32,366036124316.2572,373549607243.7343,1.0205266158948438
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,avg_speedup,0,0,0,1.325682065104685
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,max_relative_throughput,32,428691423232.0,373549607243.7343,0.8713717769939523
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,min_relative_throughput,2048,428691423232.0,315951459128.6494,0.7370137166417305
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,avg_relative_throughput,0,428691423232.0,361666175083.52167,0.8436515299439394
data/kselection-bw01-35760913.csv,Uniform,1,256,4194304,global_max_speedup,1024,180249815472.30536,369876843421.664,2.0520234234497403
data/kselection-bw01-35760913.csv,Uniform,1,64,16777216,global_min_speedup,32,365425916635.5634,372857640566.6646,1.0203371561588304
data/kselection-bw01-35760913.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,1.4167494381180563
data/kselection-bw01-35760913.csv,Uniform,1,1024,1048576,global_max_relative_throughput,32,428691423232.0,373848251027.9469,0.8720684174398027
data/kselection-bw01-35760913.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,428691423232.0,315951459128.6494,0.7370137166417305
data/kselection-bw01-35760913.csv,Uniform,1,0,0,global_avg_relative_throughput,0,428691423232.0,365121894212.63153,0.851712617574423
data/kselection-ampere02-108427.csv,Uniform,1,64,16777216,max_speedup,256,156175701744.04245,269938344481.35858,1.7284272871317883
data/kselection-ampere02-108427.csv,Uniform,1,64,16777216,min_speedup,32,239829493389.1432,294789092344.4055,1.2291611351823433
data/kselection-ampere02-108427.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.553266870008699
data/kselection-ampere02-108427.csv,Uniform,1,64,16777216,max_relative_throughput,32,519422607360.0,294789092344.4055,0.5675322717328203
data/kselection-ampere02-108427.csv,Uniform,1,64,16777216,min_relative_throughput,2048,519422607360.0,241050292689.47885,0.4640735487325687
data/kselection-ampere02-108427.csv,Uniform,1,64,16777216,avg_relative_throughput,0,519422607360.0,274718326793.3536,0.5288917403684599
data/kselection-ampere02-108427.csv,Uniform,1,256,4194304,max_speedup,128,155814868556.40573,366657087353.6301,2.353158531985017
data/kselection-ampere02-108427.csv,Uniform,1,256,4194304,min_speedup,2048,153803583929.3963,290346521578.9206,1.887774745952633
data/kselection-ampere02-108427.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,2.14726531015387
data/kselection-ampere02-108427.csv,Uniform,1,256,4194304,max_relative_throughput,32,519422607360.0,370279320500.2883,0.7128671629874903
data/kselection-ampere02-108427.csv,Uniform,1,256,4194304,min_relative_throughput,2048,519422607360.0,290346521578.9206,0.5589793695246076
data/kselection-ampere02-108427.csv,Uniform,1,256,4194304,avg_relative_throughput,0,519422607360.0,348346562216.8694,0.6706418959840119
data/kselection-ampere02-108427.csv,Uniform,1,1024,1048576,max_speedup,256,151952064889.67935,393056392811.19556,2.586713073603596
data/kselection-ampere02-108427.csv,Uniform,1,1024,1048576,min_speedup,32,227231466283.8102,401568747597.11395,1.7672233259083843
data/kselection-ampere02-108427.csv,Uniform,1,1024,1048576,avg_speedup,0,0,0,2.176788167706644
data/kselection-ampere02-108427.csv,Uniform,1,1024,1048576,max_relative_throughput,32,519422607360.0,401568747597.11395,0.7731060256274055
data/kselection-ampere02-108427.csv,Uniform,1,1024,1048576,min_relative_throughput,2048,519422607360.0,287886176004.07623,0.5542426762425242
data/kselection-ampere02-108427.csv,Uniform,1,1024,1048576,avg_relative_throughput,0,519422607360.0,371185710066.18,0.7146121574352646
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,max_speedup,256,151654257805.33157,400432595054.93774,2.6404309437124165
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,min_speedup,2048,144208871961.20886,161160526727.7932,1.117549319511661
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,avg_speedup,0,0,0,1.9270864248275785
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,max_relative_throughput,64,519422607360.0,407753006923.6323,0.7850120521246932
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,min_relative_throughput,2048,519422607360.0,161160526727.7932,0.3102686029530026
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,avg_relative_throughput,0,519422607360.0,335821074444.17865,0.6465276437446795
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,global_max_speedup,256,151654257805.33157,400432595054.93774,2.6404309437124165
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,global_min_speedup,2048,144208871961.20886,161160526727.7932,1.117549319511661
data/kselection-ampere02-108427.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,1.951101693174198
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,global_max_relative_throughput,64,519422607360.0,407753006923.6323,0.7850120521246932
data/kselection-ampere02-108427.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,519422607360.0,161160526727.7932,0.3102686029530026
data/kselection-ampere02-108427.csv,Uniform,1,0,0,global_avg_relative_throughput,0,519422607360.0,332517918380.14526,0.6401683593831038
data/kselection-ampere01-108426.csv,Uniform,1,64,16777216,max_speedup,2048,92226891269.49507,203686721499.39154,2.2085393825560167
data/kselection-ampere01-108426.csv,Uniform,1,64,16777216,min_speedup,32,209662313500.41293,206561021273.9369,0.9852081560357774
data/kselection-ampere01-108426.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.289942795846086
data/kselection-ampere01-108426.csv,Uniform,1,64,16777216,max_relative_throughput,32,231928233984.0,206561021273.9369,0.8906247321668774
data/kselection-ampere01-108426.csv,Uniform,1,64,16777216,min_relative_throughput,2048,231928233984.0,203686721499.39154,0.8782316753787003
data/kselection-ampere01-108426.csv,Uniform,1,64,16777216,avg_relative_throughput,0,231928233984.0,205804052299.6051,0.8873609252498463
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,max_speedup,2048,91629242026.72745,205313137951.49756,2.2406944923937
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,min_speedup,32,207205796163.86832,207099480971.47766,0.9994869101426749
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,1.3242261818630356
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,max_relative_throughput,64,231928233984.0,207388848002.04456,0.894194054943529
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,min_relative_throughput,2048,231928233984.0,205313137951.49756,0.8852442603674612
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,avg_relative_throughput,0,231928233984.0,206777841441.92264,0.8915595910422341
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,max_speedup,2048,90147386453.09752,200030776378.12195,2.218930401073749
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,min_speedup,32,205867606804.16077,207083448447.5354,1.0059059395611047
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,avg_speedup,0,0,0,1.3255008316303125
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,max_relative_throughput,256,231928233984.0,207434790746.97977,0.8943921452930567
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,min_relative_throughput,2048,231928233984.0,200030776378.12195,0.8624684150870628
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,avg_relative_throughput,0,231928233984.0,205891461363.95508,0.8877378050408424
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,max_speedup,2048,92361367628.21541,190496404677.87155,2.062511735909776
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,min_speedup,32,210488156086.7767,207234181851.26584,0.9845408202722372
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,avg_speedup,0,0,0,1.2221332078384786
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,max_relative_throughput,32,231928233984.0,207234181851.26584,0.8935271842132091
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,min_relative_throughput,2048,231928233984.0,190496404677.87155,0.8213592687943861
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,avg_relative_throughput,0,231928233984.0,203597725319.8827,0.87784795245726
data/kselection-ampere01-108426.csv,Uniform,1,256,4194304,global_max_speedup,2048,91629242026.72745,205313137951.49756,2.2406944923937
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,global_min_speedup,32,210488156086.7767,207234181851.26584,0.9845408202722372
data/kselection-ampere01-108426.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,1.290450754294478
data/kselection-ampere01-108426.csv,Uniform,1,1024,1048576,global_max_relative_throughput,256,231928233984.0,207434790746.97977,0.8943921452930567
data/kselection-ampere01-108426.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,231928233984.0,190496404677.87155,0.8213592687943861
data/kselection-ampere01-108426.csv,Uniform,1,0,0,global_avg_relative_throughput,0,231928233984.0,205517770106.34137,0.8861265684475457
data/kselection-ampere02-35760920.csv,Uniform,1,64,16777216,max_speedup,256,181632133490.3752,269850070787.3331,1.4856956508834522
data/kselection-ampere02-35760920.csv,Uniform,1,64,16777216,min_speedup,32,239536823386.69968,293632750319.4161,1.225835536131269
data/kselection-ampere02-35760920.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.4192944246001051
data/kselection-ampere02-35760920.csv,Uniform,1,64,16777216,max_relative_throughput,64,519422607360.0,293714324447.9435,0.5654631128605782
data/kselection-ampere02-35760920.csv,Uniform,1,64,16777216,min_relative_throughput,2048,519422607360.0,239559573816.08984,0.4612035949564601
data/kselection-ampere02-35760920.csv,Uniform,1,64,16777216,avg_relative_throughput,0,519422607360.0,274654890719.78906,0.5287696123119108
data/kselection-ampere02-35760920.csv,Uniform,1,256,4194304,max_speedup,64,182032633482.38904,370463759294.3984,2.035150248651648
data/kselection-ampere02-35760920.csv,Uniform,1,256,4194304,min_speedup,2048,180571405431.20544,290478394438.00854,1.6086622006643003
data/kselection-ampere02-35760920.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,1.9130282803728602
data/kselection-ampere02-35760920.csv,Uniform,1,256,4194304,max_relative_throughput,32,519422607360.0,371725115397.5098,0.7156506284676893
data/kselection-ampere02-35760920.csv,Uniform,1,256,4194304,min_relative_throughput,2048,519422607360.0,290478394438.00854,0.5592332530815021
data/kselection-ampere02-35760920.csv,Uniform,1,256,4194304,avg_relative_throughput,0,519422607360.0,349637184304.88654,0.6731266205026015
data/kselection-ampere02-35760920.csv,Uniform,1,1024,1048576,max_speedup,256,177583031470.20206,391242935893.31384,2.2031549560463684
data/kselection-ampere02-35760920.csv,Uniform,1,1024,1048576,min_speedup,2048,172966227714.3702,288154657210.48816,1.665959077782142
data/kselection-ampere02-35760920.csv,Uniform,1,1024,1048576,avg_speedup,0,0,0,1.990938948442102
data/kselection-ampere02-35760920.csv,Uniform,1,1024,1048576,max_relative_throughput,32,519422607360.0,402484422281.73724,0.7748688959215525
data/kselection-ampere02-35760920.csv,Uniform,1,1024,1048576,min_relative_throughput,2048,519422607360.0,288154657210.48816,0.5547595601875194
data/kselection-ampere02-35760920.csv,Uniform,1,1024,1048576,avg_relative_throughput,0,519422607360.0,371554646160.742,0.7153224386000318
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,max_speedup,256,177586059562.6608,396896331699.9993,2.234952071561425
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,min_speedup,2048,167882233035.3536,161225974800.6875,0.9603516220012133
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,avg_speedup,0,0,0,1.770606517362955
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,max_relative_throughput,32,519422607360.0,411848541837.936,0.792896835836976
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,min_relative_throughput,2048,519422607360.0,161225974800.6875,0.3103946045400859
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,avg_relative_throughput,0,519422607360.0,336282190451.46906,0.647415391025519
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,global_max_speedup,256,177586059562.6608,396896331699.9993,2.234952071561425
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,global_min_speedup,2048,167882233035.3536,161225974800.6875,0.9603516220012133
data/kselection-ampere02-35760920.csv,Uniform,1,0,0,global_avg_speedup,0,0,0,1.7734670426945056
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,global_max_relative_throughput,32,519422607360.0,411848541837.936,0.792896835836976
data/kselection-ampere02-35760920.csv,Uniform,1,4096,262144,global_min_relative_throughput,2048,519422607360.0,161225974800.6875,0.3103946045400859
data/kselection-ampere02-35760920.csv,Uniform,1,0,0,global_avg_relative_throughput,0,519422607360.0,333032227909.2216,0.6411585156100157
data/kselection-hopper01-35760906.csv,Uniform,1,64,16777216,max_speedup,256,190997534845.64215,350577694077.4529,1.835508999426501
data/kselection-hopper01-35760906.csv,Uniform,1,64,16777216,min_speedup,32,282169810519.9856,382866827366.7697,1.356866727383835
data/kselection-hopper01-35760906.csv,Uniform,1,64,16777216,avg_speedup,0,0,0,1.5898579508402606
data/kselection-hopper01-35760906.csv,Uniform,1,64,16777216,max_relative_throughput,32,547339894784.0,382866827366.7697,0.6995046972007453
data/kselection-hopper01-35760906.csv,Uniform,1,64,16777216,min_relative_throughput,2048,547339894784.0,312868783391.98553,0.5716169904177272
data/kselection-hopper01-35760906.csv,Uniform,1,64,16777216,avg_relative_throughput,0,547339894784.0,354063934965.5661,0.6468812859060684
data/kselection-hopper01-35760906.csv,Uniform,1,256,4194304,max_speedup,256,188644732890.02524,449396999432.38477,2.382239846019825
data/kselection-hopper01-35760906.csv,Uniform,1,256,4194304,min_speedup,2048,185879134416.21097,323092156454.284,1.7381841026375382
data/kselection-hopper01-35760906.csv,Uniform,1,256,4194304,avg_speedup,0,0,0,2.068960269105784
data/kselection-hopper01-35760906.csv,Uniform,1,256,4194304,max_relative_throughput,32,547339894784.0,458696642280.8361,0.8380471561676576
data/kselection-hopper01-35760906.csv,Uniform,1,256,4194304,min_relative_throughput,2048,547339894784.0,323092156454.284,0.590295280013871
