algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,prepare,4.9500000000000003e-07
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,distances,8.3733090000000007e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,selection,5.9716120000000003e-03
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,postprocessing,8.6000000000000002e-08
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,finish,6.7830000000000006e-05
bits,uniform,identity,0,16777216,64,1,512,32,"16,1,1",1,transfer-out,3.8816000596852973e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,prepare,9.0999999999999994e-08
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,distances,8.0980459999999994e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,selection,5.6371160000000002e-03
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,postprocessing,4.3999999999999997e-08
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,finish,3.9260000000000000e-05
bits,uniform,identity,1,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.6944000637740828e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,prepare,1.9000000000000001e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,distances,8.0982599999999995e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,selection,5.6628210000000002e-03
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.9000000000000001e-08
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,finish,3.6146000000000003e-05
bits,uniform,identity,2,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.5280000045313500e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,prepare,3.8000000000000003e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,distances,8.0919960000000006e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,selection,5.6542329999999998e-03
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,postprocessing,3.5000000000000002e-08
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,finish,3.6841000000000002e-05
bits,uniform,identity,3,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4351998945348896e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,prepare,2.0000000000000000e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,distances,8.0833199999999997e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,selection,5.7356919999999997e-03
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,postprocessing,3.4000000000000000e-08
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,finish,3.5815000000000002e-05
bits,uniform,identity,4,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4383998606936075e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,prepare,2.0999999999999999e-08
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,distances,8.0612270000000007e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,selection,5.6249179999999996e-03
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,postprocessing,3.8999999999999998e-08
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,finish,3.6338999999999999e-05
bits,uniform,identity,5,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4288001441163942e-05
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,prepare,3.8000000000000003e-08
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,distances,8.0806760000000002e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,selection,5.6597610000000001e-03
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,postprocessing,1.7999999999999999e-08
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,finish,3.5778000000000002e-05
bits,uniform,identity,6,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4416000087512657e-05
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,prepare,1.9000000000000001e-08
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,transfer-in,1.3493248261511326e-02
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,distances,8.0781729999999993e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,selection,5.6590440000000002e-03
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,postprocessing,3.5000000000000002e-08
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,finish,3.5964000000000003e-05
bits,uniform,identity,7,16777216,64,1,512,32,"16,1,1",1,transfer-out,2.4447999749099836e-05
bits,uniform,identity,8,16777216,64,1,512,32,"16,1,1",1,prepare,4.3000000000000001e-08
