algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,prepare,5.4000000000000002e-07
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,distances,3.4911719999999999e-03
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,selection,2.0415881969999998e+00
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,postprocessing,5.3000000000000001e-07
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,finish,1.0572900000000000e-04
partial-bitonic,uniform,identity,0,16777216,64,1,64,32,"1,1,1",1,transfer-out,4.9024001782527193e-05
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,prepare,8.9000000000000003e-08
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,distances,3.0983560000000000e-03
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,selection,1.1645168530000001e+00
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,postprocessing,4.0999999999999999e-07
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,finish,6.3639000000000005e-05
partial-bitonic,uniform,identity,1,16777216,64,1,64,32,"1,1,1",1,transfer-out,4.2656000005081296e-05
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,prepare,4.0000000000000001e-08
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,distances,3.0903459999999999e-03
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,selection,1.1645813220000001e+00
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,postprocessing,3.9999999999999998e-07
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,finish,6.0470000000000002e-05
partial-bitonic,uniform,identity,2,16777216,64,1,64,32,"1,1,1",1,transfer-out,4.0352002542931587e-05
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,prepare,5.1000000000000000e-08
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,distances,3.0794659999999999e-03
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,selection,1.1644730630000000e+00
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,postprocessing,2.7000000000000001e-07
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,finish,5.9568999999999998e-05
partial-bitonic,uniform,identity,3,16777216,64,1,64,32,"1,1,1",1,transfer-out,4.0544000512454659e-05
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,prepare,4.0000000000000001e-08
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,distances,3.0887359999999999e-03
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,selection,1.1627504730000000e+00
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,postprocessing,3.9999999999999998e-07
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,finish,5.6060000000000002e-05
partial-bitonic,uniform,identity,4,16777216,64,1,64,32,"1,1,1",1,transfer-out,3.7312001950340346e-05
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,prepare,2.9999999999999997e-08
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,distances,3.0867960000000002e-03
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,selection,1.1644984530000000e+00
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,postprocessing,2.6000000000000000e-07
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,finish,5.8359000000000001e-05
partial-bitonic,uniform,identity,5,16777216,64,1,64,32,"1,1,1",1,transfer-out,3.8880003558006138e-05
partial-bitonic,uniform,identity,6,16777216,64,1,64,32,"1,1,1",1,prepare,4.9999999999999998e-08
partial-bitonic,uniform,identity,6,16777216,64,1,64,32,"1,1,1",1,transfer-in,2.8156801126897335e-03
partial-bitonic,uniform,identity,6,16777216,64,1,64,32,"1,1,1",1,distances,3.0785570000000000e-03
