algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,prepare,6.8100000000000002e-07
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,distances,1.2555924000000000e-02
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,selection,1.6100000000000000e-07
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,finish,1.8786500000000000e-04
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.5491199155803770e-04
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,prepare,6.1000000000000004e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,distances,1.2446156999999999e-02
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,selection,1.1000000000000001e-07
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,finish,1.6068300000000001e-04
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.4812800509389490e-04
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,prepare,3.1000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,distances,1.2441871000000000e-02
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,selection,2.0000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0999999999999999e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,finish,1.6005300000000001e-04
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.4684798952657729e-04
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,distances,1.2441350000000000e-02
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,selection,1.1000000000000001e-07
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,finish,1.7873100000000001e-04
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.6243199934251606e-04
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,distances,1.2450264000000001e-02
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,selection,1.9999999999999999e-07
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,finish,1.7283199999999999e-04
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.5891200746409595e-04
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,distances,1.2443424000000000e-02
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,selection,2.9999999999999997e-08
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,finish,1.6682300000000000e-04
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.5343999257311225e-04
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,distances,1.2444725000000000e-02
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,selection,2.2000000000000001e-07
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,finish,1.6437000000000000e-04
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.5017599798738956e-04
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,prepare,2.2000000000000001e-07
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,distances,1.2443612999999999e-02
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,selection,2.9999999999999997e-08
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,finish,1.7610700000000000e-04
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.6156799392774701e-04
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,distances,1.2444655000000001e-02
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,selection,2.9999999999999997e-08
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,finish,1.6527100000000001e-04
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.5062400780152529e-04
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,distances,1.2443562999999999e-02
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,selection,2.1000000000000000e-07
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,finish,1.8627300000000001e-04
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.7078399832826108e-04
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,distances,1.2445446000000001e-02
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,selection,1.1000000000000001e-07
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,finish,1.8164500000000000e-04
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,transfer-out,1.6630400205031037e-04
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,distances,1.2443572999999999e-02
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,selection,1.4999999999999999e-07
