algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,prepare,6.7999999999999995e-07
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,distances,3.8108152999999999e-02
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,selection,2.2999999999999999e-07
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,postprocessing,4.0000000000000001e-08
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,finish,7.7288999999999998e-05
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,transfer-out,5.3343999752542004e-05
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,prepare,8.9999999999999999e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,distances,9.4128800000000002e-03
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,finish,5.5689000000000002e-05
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,transfer-out,4.3968000682070851e-05
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,prepare,3.1000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,distances,9.4066700000000007e-03
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,selection,2.9999999999999997e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,finish,5.1239000000000002e-05
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,transfer-out,4.1375998989678919e-05
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,distances,9.4048499999999993e-03
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,selection,1.6000000000000000e-07
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,finish,5.3699999999999997e-05
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,transfer-out,4.1792001866269857e-05
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,distances,9.4060900000000006e-03
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,selection,1.6000000000000000e-07
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,finish,5.1338999999999998e-05
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,transfer-out,4.0704002458369359e-05
