algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,prepare,4.4299999999999998e-07
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,distances,7.1044392999999997e-02
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,selection,1.8600000000000000e-07
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,postprocessing,4.0000000000000001e-08
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,finish,7.8424999999999995e-05
baseline-dist,uniform,identity,0,1048576,1024,4,64,1,"1,1,1",1,transfer-out,5.5680000514257699e-05
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,prepare,7.1000000000000000e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,distances,2.9969095000000001e-02
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,selection,4.3000000000000001e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.4999999999999999e-08
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,finish,5.1390000000000001e-05
baseline-dist,uniform,identity,1,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.9712002035230398e-05
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,prepare,2.4999999999999999e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,distances,2.9959038000000000e-02
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,selection,2.1999999999999998e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,finish,5.0798999999999999e-05
baseline-dist,uniform,identity,2,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.9423997804988176e-05
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,prepare,2.4999999999999999e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,distances,2.9938294000000001e-02
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,selection,2.3000000000000001e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,postprocessing,1.7999999999999999e-08
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,finish,5.0216999999999997e-05
baseline-dist,uniform,identity,3,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.9391998143400997e-05
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,prepare,2.6000000000000001e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,distances,2.9536703000000001e-02
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,selection,5.2000000000000002e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.6000000000000001e-08
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,finish,5.0222000000000001e-05
baseline-dist,uniform,identity,4,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.8975998904788867e-05
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,prepare,2.4000000000000000e-08
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,distances,2.9472946999999999e-02
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,selection,2.0999999999999999e-08
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,finish,4.8426000000000000e-05
baseline-dist,uniform,identity,5,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.7696001527365297e-05
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,prepare,2.4000000000000000e-08
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,distances,2.9460156000000001e-02
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,selection,4.3000000000000001e-08
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,postprocessing,1.7000000000000000e-08
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,finish,4.9254000000000000e-05
baseline-dist,uniform,identity,6,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.8336002035066485e-05
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,prepare,2.4999999999999999e-08
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,distances,2.9462993000000000e-02
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,selection,2.4999999999999999e-08
