algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,prepare,2.8000000000000002e-07
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,transfer-in,1.3264000881463289e-04
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,distances,2.5490700000000002e-04
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,selection,5.2026874899999997e-01
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,postprocessing,6.7000000000000004e-07
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,finish,5.4858999999999998e-05
warp-select-tunable,uniform,identity,0,524288,64,1,64,32,"2,1,1",1,transfer-out,3.9328002458205447e-05
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,prepare,1.9999999999999999e-07
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,transfer-in,1.3264000881463289e-04
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,distances,8.1069000000000006e-05
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,selection,5.8243790000000002e-03
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,postprocessing,1.6000000000000000e-07
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,finish,3.6038999999999998e-05
warp-select-tunable,uniform,identity,1,524288,64,1,64,32,"2,1,1",1,transfer-out,2.3584001610288396e-05
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,prepare,7.0000000000000005e-08
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,transfer-in,1.3264000881463289e-04
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,distances,7.5679000000000005e-05
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,selection,5.7530089999999999e-03
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,postprocessing,2.0000000000000000e-08
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,finish,3.2690000000000000e-05
warp-select-tunable,uniform,identity,2,524288,64,1,64,32,"2,1,1",1,transfer-out,2.1215999367996119e-05
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,prepare,4.9999999999999998e-08
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,transfer-in,1.3264000881463289e-04
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,distances,7.4519999999999998e-05
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,selection,5.7898780000000000e-03
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,postprocessing,2.0000000000000000e-08
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,finish,3.2350000000000000e-05
warp-select-tunable,uniform,identity,3,524288,64,1,64,32,"2,1,1",1,transfer-out,2.0479999875533395e-05
