dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-sq,128,512,8,operator,30,0.7170865,0.71592025,0.7179355000000001,1.104232195139638,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,bits-sq,128,512,8,operator,30,0.7313885,0.7304919999999999,0.73265225,1.083980675113158,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,bits-sq,128,512,8,operator,30,0.7574875,0.7563337500000001,0.7586364999999999,1.0499440584828132,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,bits-sq,128,512,8,operator,30,0.8145695,0.8133845,0.81548825,0.9830818610321158,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,bits-sq,128,512,8,operator,30,0.9392530000000001,0.9378060000000001,0.9404224999999999,0.8617390628510102,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,bits-sq,128,512,8,operator,30,1.2182315,1.2170385,1.2192545,0.6738735617983939,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,operator,30,0.79183,0.7903145,0.7939305,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,air-topk,1,512,0,operator,30,0.7928109999999999,0.791354,0.7963842499999999,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,air-topk,1,512,0,operator,30,0.7953195,0.79238275,0.79766625,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,air-topk,1,512,0,operator,30,0.8007885,0.79843425,0.8023149999999999,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,air-topk,1,512,0,operator,30,0.809391,0.80677475,0.81122375,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,global,,,,,
