dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,512,16,selection_isolated,30,12.712703,12.71071,12.714450750000001,0.02786122668011673,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,bits-prefetch,1,512,16,selection_isolated,30,12.724936499999998,12.722514749999998,12.726170500000002,0.027756523578722776,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,bits-prefetch,1,512,16,selection_isolated,30,12.741521500000001,12.739901,12.7431515,0.02775614356574291,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,bits-prefetch,1,512,16,selection_isolated,30,12.781182,12.7784875,12.78290875,0.0279133416612016,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,bits-prefetch,1,512,16,selection_isolated,30,12.851508,12.8488165,12.85406275,0.027838561824806863,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,bits-prefetch,1,512,13,selection_isolated,30,13.561694,13.5601295,13.56292825,0.025658483372357467,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-sq,512,128,8,selection_isolated,30,0.2476805,0.246699,0.24942775,1.4300338540983242,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,bits-sq,128,512,8,selection_isolated,30,0.2840805,0.28376999999999997,0.28443575,1.24330955486209,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,bits-sq,128,512,8,selection_isolated,30,0.309484,0.30910125,0.30978975,1.1427262798723037,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,bits-sq,128,512,8,selection_isolated,30,0.367166,0.36662825,0.36771950000000003,0.9716735754399918,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,bits-sq,128,512,4,selection_isolated,30,0.478766,0.47806424999999997,0.47926375,0.7472700651257608,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,bits-sq,128,512,4,selection_isolated,30,0.6263894999999999,0.62548525,0.62734,0.5555209657888583,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,selection_isolated,30,0.3541915,0.35207575,0.35487275,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,air-topk,1,512,0,selection_isolated,30,0.3532,0.35071874999999997,0.35549575,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,air-topk,1,512,0,selection_isolated,30,0.3536555,0.35165325000000003,0.355338,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-large.csv,AIR Top-K,per-k,,,,,
