dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,512,16,operator,30,0.1690865,0.16859600000000002,0.1696395,0.34821821966863115,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,bits-prefetch,1,512,16,operator,30,0.175286,0.1750725,0.1755335,0.36584496194790234,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,bits-prefetch,1,512,16,operator,30,0.1930925,0.19266450000000002,0.1933305,0.34183098773903703,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,256,bits-prefetch,1,512,16,operator,30,0.2225125,0.222312,0.2228605,0.2953519465198584,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,512,bits-prefetch,1,512,8,operator,30,0.266664,0.26619649999999995,0.26705225,0.29581983319833194,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,1024,bits-prefetch,1,512,13,operator,30,0.29544250000000005,0.29524725,0.29597125,0.31814143191991673,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-sq,128,512,4,operator,30,0.053176,0.0529825,0.05350075,1.1072476305100045,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,bits-sq,32,512,4,operator,30,0.057502,0.057362,0.05769225,1.1152220792320269,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,bits-sq,32,512,4,operator,30,0.069205,0.069025,0.06961025,0.9537605664330613,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,256,bits-sq,32,512,4,operator,30,0.091974,0.09186899999999999,0.09246,0.7145443277447975,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,512,bits-sq,32,256,4,operator,30,0.125661,0.12547,0.1261435,0.6277564240297308,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,1024,bits-sq,32,512,4,operator,30,0.171325,0.17084149999999998,0.1715625,0.5486210418794689,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,operator,30,0.058879,0.0584905,0.05979575,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/ampere02-35760925/database-topn-small.csv,AIR Top-K,per-k,,,,,
