dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-sq,128,512,7,operator,30,0.664968,0.66382725,0.6662305000000001,1.2558138135970451,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,bits-sq,128,512,7,operator,30,0.6734180000000001,0.671948,0.67419975,1.243404542201129,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,bits-sq,128,512,7,operator,30,0.6814825,0.6805245000000001,0.68282025,1.2305246282919957,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,bits-sq,128,512,7,operator,30,0.706882,0.706022,0.7075494999999999,1.1926120625507513,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,bits-sq,128,512,7,operator,30,0.756202,0.75538675,0.757007,1.1265581154241855,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,bits-sq,128,512,7,operator,30,0.7999965,0.798821,0.80141375,1.080949729155065,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,bits (split),global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,operator,30,0.8350759999999999,0.8342385,0.83615075,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,air-topk,1,512,0,operator,30,0.837331,0.8367910000000001,0.83831325,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,air-topk,1,512,0,operator,30,0.838581,0.8374275000000001,0.83952525,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,air-topk,1,512,0,operator,30,0.8430360000000001,0.84250525,0.8434927499999999,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,air-topk,1,512,0,operator,30,0.8519055,0.85091,0.8526485,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,air-topk,1,512,0,operator,30,0.864756,0.863551,0.8659385,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,AIR Top-K,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,grid-select,1,0,0,operator,30,0.6873525,0.6864295,0.688237,1.2149166548459487,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,GridSelect,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,grid-select,1,0,0,operator,30,0.6966625,0.69583475,0.69774725,1.2019177148188687,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,GridSelect,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,grid-select,1,0,0,operator,30,0.7282615,0.7262277500000001,0.728942,1.1514833614024633,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,GridSelect,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,grid-select,1,0,0,operator,30,0.8244210000000001,0.8237009999999999,0.825786,1.0225794830553807,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,GridSelect,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,grid-select,1,0,0,operator,30,1.0171035,1.01591325,1.01850625,0.8375799513028911,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,GridSelect,global,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,grid-select,1,0,0,operator,30,1.8657050000000002,1.8644975,1.86801925,0.46350092860339653,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-large.csv,GridSelect,global,,,,,
b398319ce26ea990982d28f9cb21e0c6b3243b92fe67ebefaecb413da7cd562f,50257,32,bits-prefetch,1,128,13,operator,30,0.192128,0.191778,0.19259225000000002,1.2452739840106597,token-sampling,sampling-b512,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/token-sampling-large.csv,bits,global,512,1.0,42,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/token-sampling-large.csv,0.0006367272220785164
