dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-sq,32,512,4,operator,30,0.0409295,0.040854999999999995,0.04105675,1.0319940385296669,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,bits (split),global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,bits-sq,32,512,4,operator,30,0.0414895,0.04139175,0.04163425,1.1064245170464817,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,bits (split),global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,bits-sq,32,512,4,operator,30,0.048904500000000004,0.04885250000000001,0.048997250000000006,0.9740310196403194,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,bits (split),global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,256,bits-sq,32,512,4,operator,30,0.0631195,0.06303175,0.063245,0.763147680193918,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,bits (split),global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,512,bits-sq,32,512,4,operator,30,0.088249,0.086534,0.088389,0.6925744201067434,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,bits (split),global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,1024,bits-sq,32,512,4,operator,30,0.11320350000000001,0.1129915,0.113419,0.674268021748444,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,bits (split),global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,operator,30,0.042239,0.041882249999999996,0.04294225000000001,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,AIR Top-K,global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,air-topk,1,512,0,operator,30,0.045905,0.04510650000000001,0.04679,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,AIR Top-K,global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,air-topk,1,512,0,operator,30,0.0476345,0.047169249999999996,0.04906425,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,AIR Top-K,global,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,256,air-topk,1,512,0,operator,30,0.048169500000000004,0.047469750000000005,0.048579000000000004,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/bw01-35760924/database-topn-small.csv,AIR Top-K,global,,,,,
