dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,paper_selected,paper_global_selected
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,download,30,0.0094295,0.009402250000000001,0.0096575,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,operator,30,0.8350759999999999,0.8342385,0.83615075,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,output_isolated,30,0.0131995,0.01305,0.01337675,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,selection_isolated,30,0.3747205,0.37420349999999997,0.3750535,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,transform_isolated,30,0.45411999999999997,0.453735,0.454825,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,upload_shared,1,49.147577,49.147577,49.147577,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,download,30,0.0161945,0.015102500000000001,0.01684,0.5822655839945661,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,operator,30,49.2441025,49.240078,49.250172,0.01695788851060896,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,output_isolated,30,0.01713,0.016300000000000002,0.017650000000000002,0.7705487448920023,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,selection_isolated,30,48.7823615,48.77488675,48.792431750000006,0.007681475198776508,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,transform_isolated,30,0.45526049999999996,0.45502525,0.456096,0.997494840865834,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,upload_shared,1,49.143444,49.143444,49.143444,1.0000841007398666,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,download,30,0.014554999999999998,0.01349975,0.0161675,0.6478529714874615,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,operator,30,33.974314,33.97244475,33.9766815,0.024579628009560397,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,output_isolated,30,0.015555,0.01460475,0.0165975,0.8485695917711347,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,selection_isolated,30,33.514658999999995,33.51326725,33.51701925,0.01118079405194008,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,transform_isolated,30,0.4550355,0.45471249999999996,0.4557975,0.9979880690627434,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,upload_shared,1,49.032211,49.032211,49.032211,1.0023528614689639,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,download,30,0.0141595,0.013232500000000001,0.0153275,0.6659486563791095,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,operator,30,31.200431,31.198565000000002,31.206328250000002,0.02676488667736673,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,output_isolated,30,0.015689999999999996,0.0141125,0.01619925,0.8412683237731041,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,selection_isolated,30,30.741425999999997,30.737411,30.7458675,0.012189431290532848,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,transform_isolated,30,0.4550695,0.45463,0.45549,0.9979135055194864,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,upload_shared,1,49.277288000000006,49.277288000000006,49.277288000000006,0.9973677325748932,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,download,30,0.013944499999999999,0.0134575,0.015495,0.676216429416616,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,operator,30,24.505675,24.504199999999997,24.50709075,0.034076841384699665,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,output_isolated,30,0.014525,0.013574750000000002,0.015445,0.9087435456110154,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,selection_isolated,30,24.048316,24.0468935,24.049460250000003,0.01558198503379613,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,transform_isolated,30,0.454895,0.4545625,0.4554225,0.9982963101375042,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,upload_shared,1,49.17024,49.17024,49.17024,0.9995390911250382,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,download,30,0.0136095,0.01228725,0.01506675,0.6928616040265991,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,operator,30,24.241428,24.2391665,24.243033,0.03444830065291533,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,output_isolated,30,0.014419500000000002,0.013864250000000002,0.0154025,0.915392350636291,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,selection_isolated,30,23.783224,23.782369000000003,23.784059,0.01575566458105091,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,transform_isolated,30,0.4548555,0.4543,0.455635,0.9983830029536852,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,upload_shared,1,49.16261,49.16261,49.16261,0.9996942188382594,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,4,download,30,0.013395,0.01245175,0.01531,0.7039567002612915,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,4,operator,30,27.041457,27.0346045,27.047294750000002,0.030881324183086728,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,4,output_isolated,30,0.0148795,0.0137895,0.015805,0.8870929802748748,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,4,selection_isolated,30,26.582632,26.5774945,26.5881895,0.014096440864095023,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,4,transform_isolated,30,0.45464000000000004,0.4541275,0.4552575,0.9988562379025161,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,4,upload_shared,1,48.805173,48.805173,48.805173,1.0070157317135213,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,7,download,30,0.01293,0.0124375,0.013847499999999999,0.7292730085073472,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,7,operator,30,20.1962835,20.195214000000004,20.1977015,0.041348003458160996,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,7,output_isolated,30,0.013985000000000001,0.012809749999999998,0.014635,0.9438326778691454,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,7,selection_isolated,30,19.739109,19.7377465,19.739844,0.018983658279611307,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,7,transform_isolated,30,0.45457000000000003,0.454215,0.4551375000000001,0.9990100534571131,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,7,upload_shared,1,49.212989,49.212989,49.212989,0.998670838708862,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,8,download,30,0.013005,0.012055,0.01475475,0.7250672818146867,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,8,operator,30,20.0335985,20.031526500000002,20.03439625,0.041683774385315744,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,8,output_isolated,30,0.0135245,0.012952249999999998,0.01461475,0.9759695367666087,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,8,selection_isolated,30,19.574694,19.57395575,19.578166500000002,0.019143108954857737,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,8,transform_isolated,30,0.454465,0.45377,0.45504225,0.999240865633217,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,8,upload_shared,1,49.148377,49.148377,49.148377,0.9999837227585358,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,13,download,30,0.011935,0.0113275,0.01358,0.7900712191034772,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,13,operator,30,16.3620045,16.3603215,16.363454000000004,0.051037511938100244,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,13,output_isolated,30,0.01344,0.012705000000000001,0.014159999999999999,0.9821056547619047,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,13,selection_isolated,30,15.903999,15.902819,15.9043915,0.02356140112936375,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,13,transform_isolated,30,0.45453,0.45399,0.4550575,0.9990979693309572,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,13,upload_shared,1,48.8611,48.8611,48.8611,1.0058630894515268,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,16,download,30,0.011945,0.0115525,0.01367,0.7894097948932608,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,256,16,operator,30,15.503383999999999,15.50140875,15.504776249999999,0.053864111215977103,False,False
