dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,paper_selected,paper_global_selected
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,download,30,0.00784,0.0078102499999999995,0.008022499999999998,1.0,True,True
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,operator,30,0.042239,0.041882249999999996,0.04294225000000001,1.0,True,True
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,output_isolated,30,0.01193,0.0118325,0.01201675,1.0,True,True
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,selection_isolated,30,0.027965,0.02789,0.028087499999999998,1.0,True,True
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,transform_isolated,30,0.0092955,0.00919,0.009357500000000001,1.0,True,True
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,upload_shared,1,0.6237229999999999,0.6237229999999999,0.6237229999999999,1.0,True,True
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,4,download,30,0.0086795,0.007899999999999999,0.008792749999999998,0.903277838585172,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,4,operator,30,0.47250899999999996,0.4721615,0.47272175,0.08939300627078003,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,4,output_isolated,30,0.00831,0.00812475,0.00839,1.4356197352587245,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,4,selection_isolated,30,0.46298,0.46251149999999996,0.46332,0.060402177199879045,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,4,transform_isolated,30,0.009170000000000001,0.00909925,0.0092575,1.0136859323882224,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,4,upload_shared,1,0.641833,0.641833,0.641833,0.9717839375663139,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,7,download,30,0.0086695,0.008029999999999999,0.0087925,0.9043197416229309,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,7,operator,30,0.37570499999999996,0.3755585,0.3758135,0.1124259725050239,False,False
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,128,7,output_isolated,30,0.008315,0.0081425,0.008475,1.4347564642212869,False,False
