dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,512,16,operator,30,10.134668000000001,10.132325,10.13652575,0.06923907127495443,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,bits-prefetch,1,512,16,operator,30,10.144006999999998,10.142166750000001,10.145755,0.06909389948173342,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,bits-prefetch,1,512,16,operator,30,10.195198000000001,10.16828975,10.198385499999999,0.06900523167867852,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,bits-prefetch,1,512,16,operator,30,10.190593,10.18935325,10.19306175,0.06936563946769339,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,bits-prefetch,1,512,16,operator,30,10.248850000000001,10.24569425,10.250577,0.0697409953311835,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,bits-prefetch,1,512,16,operator,30,11.642365,11.641383249999999,11.644102,0.06213707438308282,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-sq,512,128,8,operator,30,0.5991934999999999,0.5985245,0.5997765,1.171099152444077,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,bits-sq,128,512,7,operator,30,0.620586,0.619525,0.621337,1.1293986651326327,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,128,bits-sq,128,512,7,operator,30,0.634948,0.63439425,0.6359097499999999,1.1079993952260658,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,256,bits-sq,128,512,7,operator,30,0.6787745000000001,0.6781205,0.6793399999999999,1.041401820486774,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,512,bits-sq,128,512,7,operator,30,0.7617309999999999,0.761215,0.762687,0.9383430633648887,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,1024,bits-sq,128,512,7,operator,30,0.8631765,0.8624175000000001,0.8641805,0.8380933679264903,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,bits (split),per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,operator,30,0.701715,0.700292,0.7031417499999999,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,AIR Top-K,per-k,,,,,
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,64,air-topk,1,512,0,operator,30,0.700889,0.70002775,0.7018875000000001,1.0,database-topn,database-sf10,large,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-large.csv,AIR Top-K,per-k,,,,,
