dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,operator,workload_id,size_tier,mode,source_csv,label,selection_mode,batch_size,temperature,seed,source_file,retention_ratio
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-prefetch,1,512,16,operator,30,0.13286299999999998,0.13242625000000002,0.13313875,0.38851297953531083,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,bits-prefetch,1,512,16,operator,30,0.13821499999999998,0.1379375,0.13864125,0.40534674239409624,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,bits-prefetch,1,512,16,operator,30,0.1525775,0.1522545,0.15283975,0.38593173960774035,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,256,bits-prefetch,1,512,16,operator,30,0.175597,0.1754145,0.17583800000000002,0.3323177503032512,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,512,bits-prefetch,1,512,8,operator,30,0.216044,0.21577074999999998,0.21628000000000003,0.325313362092907,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,1024,bits-prefetch,1,512,13,operator,30,0.2514035,0.2509645,0.2517915,0.32808214682770925,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,bits-sq,128,512,4,operator,30,0.042976,0.04278775,0.043180750000000004,1.201112248696947,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,bits-sq,32,512,4,operator,30,0.046155,0.045866500000000004,0.04643824999999999,1.213844653883653,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,bits-sq,32,512,4,operator,30,0.05579050000000001,0.055634,0.0560225,1.0554574703578565,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,256,bits-sq,32,512,4,operator,30,0.07313149999999999,0.07282849999999999,0.07339675,0.7979324914708438,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,512,bits-sq,32,256,4,operator,30,0.09995699999999999,0.0996695,0.10019049999999999,0.7031223426073213,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,1024,bits-sq,32,512,4,operator,30,0.132983,0.132642,0.13341125,0.6202371731725108,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,bits (split),per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,32,air-topk,1,512,0,operator,30,0.051619,0.05121074999999999,0.052637500000000004,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,AIR Top-K,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,64,air-topk,1,512,0,operator,30,0.056025,0.055212250000000004,0.0563685,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,AIR Top-K,per-k,,,,,
3fb8ea1c5cea68ee8159f3d984c6b8c2e2f70bb5e3ede1cd79af7121a0225a38,600572,128,air-topk,1,512,0,operator,30,0.058884500000000006,0.058214,0.0595385,1.0,database-topn,database-sf01,small,fixed-k,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/database-topn-small.csv,AIR Top-K,per-k,,,,,
