dataset_id,rows,k,backend,degree,block_size,items_per_thread,phase,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,paper_selected,paper_global_selected
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,download,30,0.0088535,0.0086855,0.009329,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,operator,30,0.701715,0.700292,0.7031417499999999,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,output_isolated,30,0.012725,0.012594,0.013035000000000001,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,selection_isolated,30,0.311836,0.31088150000000003,0.312451,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,transform_isolated,30,0.387801,0.386654,0.3884545,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,air-topk,1,512,0,upload_shared,1,52.976911,52.976911,52.976911,1.0,True,True
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,download,30,0.020516,0.019795,0.02152025,0.4315412361084032,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,operator,30,62.151726,62.145419,62.15720225,0.011290354189037325,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,output_isolated,30,0.0195895,0.01914925,0.01997525,0.6495826846014446,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,selection_isolated,30,61.755477500000005,61.751028000000005,61.759620999999996,0.005049527792899018,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,transform_isolated,30,0.384546,0.38353000000000004,0.385362,1.008464527000671,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,4,upload_shared,1,53.030623,53.030623,53.030623,0.9989871512540971,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,download,30,0.017557000000000003,0.017031,0.01817225,0.5042718004214842,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,operator,30,38.809090999999995,38.806718000000004,38.81269575,0.018081201644223,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,output_isolated,30,0.017446500000000004,0.017120999999999997,0.01823225,0.7293726535408247,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,selection_isolated,30,38.418115,38.412961499999994,38.422008250000005,0.008116900061338252,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,transform_isolated,30,0.38371,0.38313400000000003,0.384496,1.0106616976362357,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,7,upload_shared,1,53.296588,53.296588,53.296588,0.9940019237253988,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,download,30,0.017166,0.016821000000000003,0.017817,0.5157578935104276,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,operator,30,36.2473555,36.245092,36.249915,0.019359067449761957,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,output_isolated,30,0.0167405,0.0160975,0.01735675,0.7601326125265077,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,selection_isolated,30,35.856120000000004,35.8532695,35.8586585,0.00869686959994556,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,transform_isolated,30,0.3838145,0.3832375,0.38444674999999995,1.0103865278669775,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,8,upload_shared,1,53.216697,53.216697,53.216697,0.9954941585344915,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,download,30,0.016454999999999997,0.015581499999999998,0.017837750000000003,0.5380431479793377,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,operator,30,30.5551545,30.55245025,30.560416749999998,0.022965519614701998,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,output_isolated,30,0.0163395,0.015794000000000002,0.016962750000000002,0.7787876005997736,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,selection_isolated,30,30.164609,30.1617625,30.167427999999997,0.010337810113832406,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,transform_isolated,30,0.383144,0.382628,0.38376499999999997,1.0121546990165577,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,13,upload_shared,1,52.828986,52.828986,52.828986,1.002800072672226,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,download,30,0.016114999999999997,0.01531575,0.0170185,0.5493949736270557,False,False
2749d31664905c24a21b64a3a74ce59d83e4f5ee9b5495dd2530667804fffa96,59986052,32,bits-prefetch,1,128,16,operator,30,27.959578,27.95662075,27.96177425,0.025097481800333322,False,False
