operator,dataset_id,rows,batch_size,k,temperature,seed,backend,degree,block_size,items_per_thread,phase,source_file,retention_ratio,samples,median_ms,p25_ms,p75_ms,speedup_vs_air,paper_selected,paper_global_selected
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,air-topk,1,512,0,download,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.008548499999999999,0.0084255,0.0086555,1.0,True,True
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,air-topk,1,512,0,operator,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.130749,0.13024575,0.13117975,1.0,True,True
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,air-topk,1,512,0,output_isolated,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.013204500000000001,0.012942249999999999,0.01346,1.0,True,True
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,air-topk,1,512,0,selection_isolated,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.08854000000000001,0.088084,0.08901825,1.0,True,True
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,air-topk,1,512,0,transform_isolated,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.034873,0.034745500000000006,0.0351915,1.0,True,True
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,air-topk,1,512,0,upload_shared,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,1,1.275303,1.275303,1.275303,1.0,True,True
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,bits-prefetch,1,128,4,download,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.008418,0.0083255,0.0084905,1.015502494654312,False,False
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,bits-prefetch,1,128,4,operator,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.119352,0.118691,0.119818,1.0954906495073398,False,False
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,bits-prefetch,1,128,4,output_isolated,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.012709,0.012569750000000001,0.01288975,1.0389881186560705,False,False
token-sampling,38c661ffe41eeab82ce3542031ee8742cd1926efb0cd79943e2cb503d879310e,50257,128,32,1.0,42,bits-prefetch,1,128,4,selection_isolated,/home/jirka/research/2024/bits-knn-jpdc2024/data/application-scaling/hopper01-35760923/token-sampling-middle.csv,0.0006367272220785164,30,0.07539000000000001,0.07499725,0.075876,1.1744263164875977,False,False
