algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline,uniform,identity,10,16777216,64,1,64,32,"1,1,1",1,selection,1.668598934
baseline,uniform,identity,11,16777216,64,1,64,32,"1,1,1",1,selection,1.668570571
baseline,uniform,identity,12,16777216,64,1,64,32,"1,1,1",1,selection,1.668583671
baseline,uniform,identity,13,16777216,64,1,64,32,"1,1,1",1,selection,1.668593406
baseline,uniform,identity,14,16777216,64,1,64,32,"1,1,1",1,selection,1.668572876
baseline,uniform,identity,15,16777216,64,1,64,32,"1,1,1",1,selection,1.668574197
baseline,uniform,identity,16,16777216,64,1,64,32,"1,1,1",1,selection,1.668578083
baseline,uniform,identity,17,16777216,64,1,64,32,"1,1,1",1,selection,1.668595488
baseline,uniform,identity,18,16777216,64,1,64,32,"1,1,1",1,selection,1.668605455
baseline,uniform,identity,19,16777216,64,1,64,32,"1,1,1",1,selection,1.668574098
warp-shuffle,uniform,identity,10,16777216,64,1,64,32,"1,1,1",1,selection,0.79915365
warp-shuffle,uniform,identity,11,16777216,64,1,64,32,"1,1,1",1,selection,0.799149443
warp-shuffle,uniform,identity,12,16777216,64,1,64,32,"1,1,1",1,selection,0.7991384259999998
warp-shuffle,uniform,identity,13,16777216,64,1,64,32,"1,1,1",1,selection,0.799157455
warp-shuffle,uniform,identity,14,16777216,64,1,64,32,"1,1,1",1,selection,0.799165608
warp-shuffle,uniform,identity,15,16777216,64,1,64,32,"1,1,1",1,selection,0.799140629
warp-shuffle,uniform,identity,16,16777216,64,1,64,32,"1,1,1",1,selection,0.799136384
warp-shuffle,uniform,identity,17,16777216,64,1,64,32,"1,1,1",1,selection,0.799125847
warp-shuffle,uniform,identity,18,16777216,64,1,64,32,"1,1,1",1,selection,0.799150515
warp-shuffle,uniform,identity,19,16777216,64,1,64,32,"1,1,1",1,selection,0.799150043
sort-in-registers,uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.164180777
sort-in-registers,uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.164191483
sort-in-registers,uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.164190602
sort-in-registers,uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.164193357
sort-in-registers,uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.164200537
