algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline,uniform,identity,10,16777216,64,1,128,32,"1,1,1",1,selection,1.161399795
baseline,uniform,identity,11,16777216,64,1,128,32,"1,1,1",1,selection,1.161472105
baseline,uniform,identity,12,16777216,64,1,128,32,"1,1,1",1,selection,1.161385795
baseline,uniform,identity,13,16777216,64,1,128,32,"1,1,1",1,selection,1.161386485
baseline,uniform,identity,14,16777216,64,1,128,32,"1,1,1",1,selection,1.161406816
baseline,uniform,identity,15,16777216,64,1,128,32,"1,1,1",1,selection,1.161388756
baseline,uniform,identity,16,16777216,64,1,128,32,"1,1,1",1,selection,1.161330796
baseline,uniform,identity,17,16777216,64,1,128,32,"1,1,1",1,selection,1.161388465
baseline,uniform,identity,18,16777216,64,1,128,32,"1,1,1",1,selection,1.161245048
baseline,uniform,identity,19,16777216,64,1,128,32,"1,1,1",1,selection,1.161243267
warp-shuffle,uniform,identity,10,16777216,64,1,128,32,"1,1,1",1,selection,0.563025341
warp-shuffle,uniform,identity,11,16777216,64,1,128,32,"1,1,1",1,selection,0.563085381
warp-shuffle,uniform,identity,12,16777216,64,1,128,32,"1,1,1",1,selection,0.563099061
warp-shuffle,uniform,identity,13,16777216,64,1,128,32,"1,1,1",1,selection,0.563680364
warp-shuffle,uniform,identity,14,16777216,64,1,128,32,"1,1,1",1,selection,0.56315546
warp-shuffle,uniform,identity,15,16777216,64,1,128,32,"1,1,1",1,selection,0.563208579
warp-shuffle,uniform,identity,16,16777216,64,1,128,32,"1,1,1",1,selection,0.563250579
warp-shuffle,uniform,identity,17,16777216,64,1,128,32,"1,1,1",1,selection,0.563323698
warp-shuffle,uniform,identity,18,16777216,64,1,128,32,"1,1,1",1,selection,0.563676414
warp-shuffle,uniform,identity,19,16777216,64,1,128,32,"1,1,1",1,selection,0.563560006
sort-in-registers,uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.106552983
sort-in-registers,uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.106555912
sort-in-registers,uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.106553713
sort-in-registers,uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.106543243
sort-in-registers,uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.106547763
sort-in-registers,uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.106539922
sort-in-registers,uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.106525692
sort-in-registers,uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.106542593
sort-in-registers,uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.106528113
sort-in-registers,uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.106536613
baseline,uniform,identity,10,16777216,64,1,128,64,"1,1,1",1,selection,0.689317418
baseline,uniform,identity,11,16777216,64,1,128,64,"1,1,1",1,selection,0.688534937
baseline,uniform,identity,12,16777216,64,1,128,64,"1,1,1",1,selection,0.688506696
baseline,uniform,identity,13,16777216,64,1,128,64,"1,1,1",1,selection,0.688558515
baseline,uniform,identity,14,16777216,64,1,128,64,"1,1,1",1,selection,0.689380307
baseline,uniform,identity,15,16777216,64,1,128,64,"1,1,1",1,selection,0.689399447
baseline,uniform,identity,16,16777216,64,1,128,64,"1,1,1",1,selection,0.688342649
baseline,uniform,identity,17,16777216,64,1,128,64,"1,1,1",1,selection,0.688603306
baseline,uniform,identity,18,16777216,64,1,128,64,"1,1,1",1,selection,0.688458847
baseline,uniform,identity,19,16777216,64,1,128,64,"1,1,1",1,selection,0.688528246
warp-shuffle,uniform,identity,10,16777216,64,1,64,64,"1,1,1",1,selection,0.300243211
warp-shuffle,uniform,identity,11,16777216,64,1,64,64,"1,1,1",1,selection,0.300173781
warp-shuffle,uniform,identity,12,16777216,64,1,64,64,"1,1,1",1,selection,0.30028079
warp-shuffle,uniform,identity,13,16777216,64,1,64,64,"1,1,1",1,selection,0.3002911
warp-shuffle,uniform,identity,14,16777216,64,1,64,64,"1,1,1",1,selection,0.30024287
warp-shuffle,uniform,identity,15,16777216,64,1,64,64,"1,1,1",1,selection,0.30027257
warp-shuffle,uniform,identity,16,16777216,64,1,64,64,"1,1,1",1,selection,0.30028375
warp-shuffle,uniform,identity,17,16777216,64,1,64,64,"1,1,1",1,selection,0.300234421
