algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline,uniform,identity,10,16777216,64,1,64,32,"1,1,1",1,selection,1.519464127
baseline,uniform,identity,11,16777216,64,1,64,32,"1,1,1",1,selection,1.519457928
baseline,uniform,identity,12,16777216,64,1,64,32,"1,1,1",1,selection,1.519414541
baseline,uniform,identity,13,16777216,64,1,64,32,"1,1,1",1,selection,1.519494093
baseline,uniform,identity,14,16777216,64,1,64,32,"1,1,1",1,selection,1.519478088
baseline,uniform,identity,15,16777216,64,1,64,32,"1,1,1",1,selection,1.519511419
baseline,uniform,identity,16,16777216,64,1,64,32,"1,1,1",1,selection,1.519428393
baseline,uniform,identity,17,16777216,64,1,64,32,"1,1,1",1,selection,1.519467602
baseline,uniform,identity,18,16777216,64,1,64,32,"1,1,1",1,selection,1.519491278
baseline,uniform,identity,19,16777216,64,1,64,32,"1,1,1",1,selection,1.519496806
warp-shuffle,uniform,identity,10,16777216,64,1,64,32,"1,1,1",1,selection,0.629666715
warp-shuffle,uniform,identity,11,16777216,64,1,64,32,"1,1,1",1,selection,0.629750813
warp-shuffle,uniform,identity,12,16777216,64,1,64,32,"1,1,1",1,selection,0.62970945
warp-shuffle,uniform,identity,13,16777216,64,1,64,32,"1,1,1",1,selection,0.629678784
warp-shuffle,uniform,identity,14,16777216,64,1,64,32,"1,1,1",1,selection,0.629743251
warp-shuffle,uniform,identity,15,16777216,64,1,64,32,"1,1,1",1,selection,0.629651312
warp-shuffle,uniform,identity,16,16777216,64,1,64,32,"1,1,1",1,selection,0.629646635
warp-shuffle,uniform,identity,17,16777216,64,1,64,32,"1,1,1",1,selection,0.629767548
warp-shuffle,uniform,identity,18,16777216,64,1,64,32,"1,1,1",1,selection,0.62964367
warp-shuffle,uniform,identity,19,16777216,64,1,64,32,"1,1,1",1,selection,0.62970265
sort-in-registers,uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.12678316
sort-in-registers,uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.126768006
sort-in-registers,uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.126778171
sort-in-registers,uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.126767315
sort-in-registers,uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.126769218
sort-in-registers,uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.126791443
sort-in-registers,uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.126760315
sort-in-registers,uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.126761116
sort-in-registers,uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.126770931
sort-in-registers,uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.126774146
baseline,uniform,identity,10,16777216,64,1,64,64,"1,1,1",1,selection,0.9184959210000002
baseline,uniform,identity,11,16777216,64,1,64,64,"1,1,1",1,selection,0.918492948
baseline,uniform,identity,12,16777216,64,1,64,64,"1,1,1",1,selection,0.918481439
baseline,uniform,identity,13,16777216,64,1,64,64,"1,1,1",1,selection,0.918525416
baseline,uniform,identity,14,16777216,64,1,64,64,"1,1,1",1,selection,0.918507139
baseline,uniform,identity,15,16777216,64,1,64,64,"1,1,1",1,selection,0.918519107
baseline,uniform,identity,16,16777216,64,1,64,64,"1,1,1",1,selection,0.918505836
baseline,uniform,identity,17,16777216,64,1,64,64,"1,1,1",1,selection,0.918495031
baseline,uniform,identity,18,16777216,64,1,64,64,"1,1,1",1,selection,0.918500579
baseline,uniform,identity,19,16777216,64,1,64,64,"1,1,1",1,selection,0.918505236
warp-shuffle,uniform,identity,10,16777216,64,1,64,64,"1,1,1",1,selection,0.366141649
warp-shuffle,uniform,identity,11,16777216,64,1,64,64,"1,1,1",1,selection,0.366141888
warp-shuffle,uniform,identity,12,16777216,64,1,64,64,"1,1,1",1,selection,0.366125084
warp-shuffle,uniform,identity,13,16777216,64,1,64,64,"1,1,1",1,selection,0.366156662
warp-shuffle,uniform,identity,14,16777216,64,1,64,64,"1,1,1",1,selection,0.366118012
warp-shuffle,uniform,identity,15,16777216,64,1,64,64,"1,1,1",1,selection,0.366117842
warp-shuffle,uniform,identity,16,16777216,64,1,64,64,"1,1,1",1,selection,0.366131092
warp-shuffle,uniform,identity,17,16777216,64,1,64,64,"1,1,1",1,selection,0.366119135
warp-shuffle,uniform,identity,18,16777216,64,1,64,64,"1,1,1",1,selection,0.366111213
