algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline,uniform,identity,10,16777216,64,1,128,32,"1,1,1",1,selection,1.528938341
baseline,uniform,identity,11,16777216,64,1,128,32,"1,1,1",1,selection,1.528932417
baseline,uniform,identity,12,16777216,64,1,128,32,"1,1,1",1,selection,1.528951996
baseline,uniform,identity,13,16777216,64,1,128,32,"1,1,1",1,selection,1.528931138
baseline,uniform,identity,14,16777216,64,1,128,32,"1,1,1",1,selection,1.528937975
baseline,uniform,identity,15,16777216,64,1,128,32,"1,1,1",1,selection,1.528950995
baseline,uniform,identity,16,16777216,64,1,128,32,"1,1,1",1,selection,1.528959789
baseline,uniform,identity,17,16777216,64,1,128,32,"1,1,1",1,selection,1.528962743
baseline,uniform,identity,18,16777216,64,1,128,32,"1,1,1",1,selection,1.528969981
baseline,uniform,identity,19,16777216,64,1,128,32,"1,1,1",1,selection,1.528959964
warp-shuffle,uniform,identity,10,16777216,64,1,128,32,"1,1,1",1,selection,0.680273693
warp-shuffle,uniform,identity,11,16777216,64,1,128,32,"1,1,1",1,selection,0.680288776
warp-shuffle,uniform,identity,12,16777216,64,1,128,32,"1,1,1",1,selection,0.680284452
warp-shuffle,uniform,identity,13,16777216,64,1,128,32,"1,1,1",1,selection,0.680283008
warp-shuffle,uniform,identity,14,16777216,64,1,128,32,"1,1,1",1,selection,0.680293987
warp-shuffle,uniform,identity,15,16777216,64,1,128,32,"1,1,1",1,selection,0.680302548
warp-shuffle,uniform,identity,16,16777216,64,1,128,32,"1,1,1",1,selection,0.680321287
warp-shuffle,uniform,identity,17,16777216,64,1,128,32,"1,1,1",1,selection,0.680291462
warp-shuffle,uniform,identity,18,16777216,64,1,128,32,"1,1,1",1,selection,0.680303196
warp-shuffle,uniform,identity,19,16777216,64,1,128,32,"1,1,1",1,selection,0.680284578
sort-in-registers,uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.148787244
sort-in-registers,uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.148801645
sort-in-registers,uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.148797673
sort-in-registers,uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.148787494
