algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
sort-in-registers,uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.163114158
sort-in-registers,uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.163101569
sort-in-registers,uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.163097072
sort-in-registers,uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.163105074
sort-in-registers,uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.163121929
sort-in-registers,uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.16310228
sort-in-registers,uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.163101107
sort-in-registers,uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.163086627
sort-in-registers,uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.163118063
sort-in-registers,uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.163091824
bits (sort-in-registers + buffer),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.024357528
bits (sort-in-registers + buffer),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.024369886
bits (sort-in-registers + buffer),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.02436553
bits (sort-in-registers + buffer),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.024350938
bits (sort-in-registers + buffer),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.024357779
bits (sort-in-registers + buffer),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.024363397
bits (sort-in-registers + buffer),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.024376386
bits (sort-in-registers + buffer),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.024352059
bits (sort-in-registers + buffer),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.024371369
bits (sort-in-registers + buffer),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.024377248
sort-in-registers,uniform,identity,10,16777216,64,1,512,64,"1,1,1",1,selection,0.163110732
sort-in-registers,uniform,identity,11,16777216,64,1,512,64,"1,1,1",1,selection,0.163086425
sort-in-registers,uniform,identity,12,16777216,64,1,512,64,"1,1,1",1,selection,0.163085664
sort-in-registers,uniform,identity,13,16777216,64,1,512,64,"1,1,1",1,selection,0.163132095
sort-in-registers,uniform,identity,14,16777216,64,1,512,64,"1,1,1",1,selection,0.163107277
sort-in-registers,uniform,identity,15,16777216,64,1,512,64,"1,1,1",1,selection,0.163092014
