algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
sort-in-registers,uniform,descending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.105233584
sort-in-registers,uniform,descending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.105218834
sort-in-registers,uniform,descending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.105231964
sort-in-registers,uniform,descending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.105427972
sort-in-registers,uniform,descending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.103792009
sort-in-registers,uniform,descending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.105207334
sort-in-registers,uniform,descending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.105254344
sort-in-registers,uniform,descending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.105296093
sort-in-registers,uniform,descending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.105312823
sort-in-registers,uniform,descending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.105433871
bits (sort-in-registers + buffer),uniform,descending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.121885894
bits (sort-in-registers + buffer),uniform,descending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.121875094
bits (sort-in-registers + buffer),uniform,descending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.121900233
bits (sort-in-registers + buffer),uniform,descending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.121907654
bits (sort-in-registers + buffer),uniform,descending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.121906594
bits (sort-in-registers + buffer),uniform,descending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.121870544
bits (sort-in-registers + buffer),uniform,descending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.121936043
bits (sort-in-registers + buffer),uniform,descending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.121885144
bits (sort-in-registers + buffer),uniform,descending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.121898964
bits (sort-in-registers + buffer),uniform,descending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.121886893
sort-in-registers,uniform,descending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.105230864
sort-in-registers,uniform,descending,11,16777216,64,1,512,64,"1,1,1",1,selection,0.105230963
sort-in-registers,uniform,descending,12,16777216,64,1,512,64,"1,1,1",1,selection,0.105349782
sort-in-registers,uniform,descending,13,16777216,64,1,512,64,"1,1,1",1,selection,0.105284723
sort-in-registers,uniform,descending,14,16777216,64,1,512,64,"1,1,1",1,selection,0.105242714
sort-in-registers,uniform,descending,15,16777216,64,1,512,64,"1,1,1",1,selection,0.105230244
sort-in-registers,uniform,descending,16,16777216,64,1,512,64,"1,1,1",1,selection,0.105219623
sort-in-registers,uniform,descending,17,16777216,64,1,512,64,"1,1,1",1,selection,0.105230334
sort-in-registers,uniform,descending,18,16777216,64,1,512,64,"1,1,1",1,selection,0.105213883
sort-in-registers,uniform,descending,19,16777216,64,1,512,64,"1,1,1",1,selection,0.105398902
bits (sort-in-registers + buffer),uniform,descending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.121966312
