algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
sort-in-registers,uniform,descending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.125492428
sort-in-registers,uniform,descending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.125493909
sort-in-registers,uniform,descending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.125467869
sort-in-registers,uniform,descending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.125490154
sort-in-registers,uniform,descending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.125476653
sort-in-registers,uniform,descending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.125484465
sort-in-registers,uniform,descending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.125477233
sort-in-registers,uniform,descending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.125470794
sort-in-registers,uniform,descending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.125489753
sort-in-registers,uniform,descending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.125490574
bits (sort-in-registers + buffer),uniform,descending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.138455738
bits (sort-in-registers + buffer),uniform,descending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.138439764
bits (sort-in-registers + buffer),uniform,descending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.138436489
bits (sort-in-registers + buffer),uniform,descending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.138442869
bits (sort-in-registers + buffer),uniform,descending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.138432994
bits (sort-in-registers + buffer),uniform,descending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.138447867
bits (sort-in-registers + buffer),uniform,descending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.138421446
bits (sort-in-registers + buffer),uniform,descending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.138439884
bits (sort-in-registers + buffer),uniform,descending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.138429609
bits (sort-in-registers + buffer),uniform,descending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.138422247
sort-in-registers,uniform,descending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.125494369
sort-in-registers,uniform,descending,11,16777216,64,1,512,64,"1,1,1",1,selection,0.125474559
sort-in-registers,uniform,descending,12,16777216,64,1,512,64,"1,1,1",1,selection,0.125483854
sort-in-registers,uniform,descending,13,16777216,64,1,512,64,"1,1,1",1,selection,0.125482802
sort-in-registers,uniform,descending,14,16777216,64,1,512,64,"1,1,1",1,selection,0.125485526
sort-in-registers,uniform,descending,15,16777216,64,1,512,64,"1,1,1",1,selection,0.125490534
sort-in-registers,uniform,descending,16,16777216,64,1,512,64,"1,1,1",1,selection,0.12548817
sort-in-registers,uniform,descending,17,16777216,64,1,512,64,"1,1,1",1,selection,0.125499898
sort-in-registers,uniform,descending,18,16777216,64,1,512,64,"1,1,1",1,selection,0.125502863
sort-in-registers,uniform,descending,19,16777216,64,1,512,64,"1,1,1",1,selection,0.125480468
bits (sort-in-registers + buffer),uniform,descending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.138512656
bits (sort-in-registers + buffer),uniform,descending,11,16777216,64,1,512,64,"1,1,1",1,selection,0.138466015
bits (sort-in-registers + buffer),uniform,descending,12,16777216,64,1,512,64,"1,1,1",1,selection,0.138465914
bits (sort-in-registers + buffer),uniform,descending,13,16777216,64,1,512,64,"1,1,1",1,selection,0.138459725
bits (sort-in-registers + buffer),uniform,descending,14,16777216,64,1,512,64,"1,1,1",1,selection,0.138463821
bits (sort-in-registers + buffer),uniform,descending,15,16777216,64,1,512,64,"1,1,1",1,selection,0.138429188
bits (sort-in-registers + buffer),uniform,descending,16,16777216,64,1,512,64,"1,1,1",1,selection,0.138422478
bits (sort-in-registers + buffer),uniform,descending,17,16777216,64,1,512,64,"1,1,1",1,selection,0.138442499
bits (sort-in-registers + buffer),uniform,descending,18,16777216,64,1,512,64,"1,1,1",1,selection,0.138451242
bits (sort-in-registers + buffer),uniform,descending,19,16777216,64,1,512,64,"1,1,1",1,selection,0.138418922
sort-in-registers,uniform,descending,10,16777216,64,1,512,128,"1,1,1",1,selection,0.125491005
sort-in-registers,uniform,descending,11,16777216,64,1,512,128,"1,1,1",1,selection,0.12549424
sort-in-registers,uniform,descending,12,16777216,64,1,512,128,"1,1,1",1,selection,0.125490064
sort-in-registers,uniform,descending,13,16777216,64,1,512,128,"1,1,1",1,selection,0.125490565
sort-in-registers,uniform,descending,14,16777216,64,1,512,128,"1,1,1",1,selection,0.125478316
sort-in-registers,uniform,descending,15,16777216,64,1,512,128,"1,1,1",1,selection,0.125486047
sort-in-registers,uniform,descending,16,16777216,64,1,512,128,"1,1,1",1,selection,0.125474971
sort-in-registers,uniform,descending,17,16777216,64,1,512,128,"1,1,1",1,selection,0.125485406
sort-in-registers,uniform,descending,18,16777216,64,1,512,128,"1,1,1",1,selection,0.125485347
