algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
sort-in-registers,uniform,descending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.148196588
sort-in-registers,uniform,descending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.148240236
sort-in-registers,uniform,descending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.148183744
sort-in-registers,uniform,descending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.148183091
sort-in-registers,uniform,descending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.148174805
sort-in-registers,uniform,descending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.148225201
sort-in-registers,uniform,descending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.148195986
sort-in-registers,uniform,descending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.14821693
sort-in-registers,uniform,descending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.148222323
sort-in-registers,uniform,descending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.148268954
bits (sort-in-registers + buffer),uniform,descending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.170122313
bits (sort-in-registers + buffer),uniform,descending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.170109844
bits (sort-in-registers + buffer),uniform,descending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.170121756
bits (sort-in-registers + buffer),uniform,descending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.170103507
bits (sort-in-registers + buffer),uniform,descending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.170099053
bits (sort-in-registers + buffer),uniform,descending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.170123787
bits (sort-in-registers + buffer),uniform,descending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.170125531
bits (sort-in-registers + buffer),uniform,descending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.170114776
bits (sort-in-registers + buffer),uniform,descending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.170115344
bits (sort-in-registers + buffer),uniform,descending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.170125535
sort-in-registers,uniform,descending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.148166973
sort-in-registers,uniform,descending,11,16777216,64,1,512,64,"1,1,1",1,selection,0.148186771
sort-in-registers,uniform,descending,12,16777216,64,1,512,64,"1,1,1",1,selection,0.148198665
sort-in-registers,uniform,descending,13,16777216,64,1,512,64,"1,1,1",1,selection,0.148251021
sort-in-registers,uniform,descending,14,16777216,64,1,512,64,"1,1,1",1,selection,0.148216264
sort-in-registers,uniform,descending,15,16777216,64,1,512,64,"1,1,1",1,selection,0.148291796
