point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.008779834
1048576,1024,baseline,4,0.009176686000000002
1048576,1024,baseline,4,0.009179131
1048576,1024,baseline,4,0.009176717
1048576,1024,baseline,4,0.009177127
1048576,1024,baseline,4,0.009177337
1048576,1024,baseline,4,0.009177307
1048576,1024,baseline,4,0.008804221
1048576,1024,baseline,4,0.008747895
1048576,1024,baseline,4,0.008748265999999998
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02267758
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022436053
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022668967
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022785454
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02254608
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022865405
1048576,1024,cuBLAS GEMM + postprocessing,4,0.023012349
1048576,1024,cuBLAS GEMM + postprocessing,4,0.023138711
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022566952
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022492479
1048576,1024,MAGMA-distance,4,0.005819127
1048576,1024,MAGMA-distance,4,0.005826228
1048576,1024,MAGMA-distance,4,0.005825507
1048576,1024,MAGMA-distance,4,0.005818647
1048576,1024,MAGMA-distance,4,0.005826959
1048576,1024,MAGMA-distance,4,0.0058336
1048576,1024,MAGMA-distance,4,0.005828592
1048576,1024,MAGMA-distance,4,0.00583432
1048576,1024,MAGMA-distance,4,0.005821171
1048576,1024,MAGMA-distance,4,0.005819227
1048576,1024,baseline,8,0.013062147
1048576,1024,baseline,8,0.013324796
1048576,1024,baseline,8,0.013449525
1048576,1024,baseline,8,0.013441013
1048576,1024,baseline,8,0.013324505
1048576,1024,baseline,8,0.013323764
1048576,1024,baseline,8,0.013324916
1048576,1024,baseline,8,0.013324746
1048576,1024,baseline,8,0.013323765
1048576,1024,baseline,8,0.013324365
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022522214
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022422393
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022851384
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022801288
1048576,1024,cuBLAS GEMM + postprocessing,8,0.02286214
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022986589
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022808579
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022828108
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022539541
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022898946
1048576,1024,MAGMA-distance,8,0.006092242
1048576,1024,MAGMA-distance,8,0.006093955
1048576,1024,MAGMA-distance,8,0.006099203
1048576,1024,MAGMA-distance,8,0.006092061
1048576,1024,MAGMA-distance,8,0.006091752
1048576,1024,MAGMA-distance,8,0.006091941
1048576,1024,MAGMA-distance,8,0.00609719
1048576,1024,MAGMA-distance,8,0.006092062
1048576,1024,MAGMA-distance,8,0.006088557
1048576,1024,MAGMA-distance,8,0.006094576
1048576,1024,baseline,16,0.023109075
1048576,1024,baseline,16,0.023107814
1048576,1024,baseline,16,0.023108424
1048576,1024,baseline,16,0.023106331
1048576,1024,baseline,16,0.023109556
1048576,1024,baseline,16,0.023109916
1048576,1024,baseline,16,0.023106722
1048576,1024,baseline,16,0.023107192
1048576,1024,baseline,16,0.023107442
1048576,1024,baseline,16,0.023106382
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022882
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022676418
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023005668
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022929242
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023147583
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022807998
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022925316
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023181085
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023163288
1048576,1024,cuBLAS GEMM + postprocessing,16,0.0228619
1048576,1024,MAGMA-distance,16,0.006595767
1048576,1024,MAGMA-distance,16,0.006607926
1048576,1024,MAGMA-distance,16,0.00659169
1048576,1024,MAGMA-distance,16,0.006594144
1048576,1024,MAGMA-distance,16,0.006595497
1048576,1024,MAGMA-distance,16,0.006593544
1048576,1024,MAGMA-distance,16,0.006601005
1048576,1024,MAGMA-distance,16,0.006589016
1048576,1024,MAGMA-distance,16,0.006596628
1048576,1024,MAGMA-distance,16,0.006599192
1048576,1024,baseline,32,0.171878488
1048576,1024,baseline,32,0.171657352
1048576,1024,baseline,32,0.171712425
1048576,1024,baseline,32,0.171685485
1048576,1024,baseline,32,0.171687197
1048576,1024,baseline,32,0.171706707
1048576,1024,baseline,32,0.171843675
1048576,1024,baseline,32,0.171650662
1048576,1024,baseline,32,0.171666496
1048576,1024,baseline,32,0.171640717
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023010576
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023182377
1048576,1024,cuBLAS GEMM + postprocessing,32,0.022622767
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023037266
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023114574
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023677018
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023215206
1048576,1024,cuBLAS GEMM + postprocessing,32,0.022823481
1048576,1024,cuBLAS GEMM + postprocessing,32,0.022682217
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023076035
1048576,1024,MAGMA-distance,32,0.007490025
1048576,1024,MAGMA-distance,32,0.007498508
1048576,1024,MAGMA-distance,32,0.007572049
1048576,1024,MAGMA-distance,32,0.007573721999999998
1048576,1024,MAGMA-distance,32,0.007568193
1048576,1024,MAGMA-distance,32,0.007551628
1048576,1024,MAGMA-distance,32,0.007560482
1048576,1024,MAGMA-distance,32,0.007564839
1048576,1024,MAGMA-distance,32,0.007524327
1048576,1024,MAGMA-distance,32,0.007513741
1048576,1024,baseline,64,0.337318558
1048576,1024,baseline,64,0.337353862
1048576,1024,baseline,64,0.337329515
1048576,1024,baseline,64,0.33736573
1048576,1024,baseline,64,0.337346711
1048576,1024,baseline,64,0.337353661
1048576,1024,baseline,64,0.337340382
1048576,1024,baseline,64,0.33735944
1048576,1024,baseline,64,0.337335033
1048576,1024,baseline,64,0.337343716
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023784982
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023383441
1048576,1024,cuBLAS GEMM + postprocessing,64,0.02361887
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023839995
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023371284
1048576,1024,cuBLAS GEMM + postprocessing,64,0.02340207
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023601042
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023749037
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023425526
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023539299
1048576,1024,MAGMA-distance,64,0.009426656
1048576,1024,MAGMA-distance,64,0.009417282
1048576,1024,MAGMA-distance,64,0.009341086
1048576,1024,MAGMA-distance,64,0.009372274000000002
1048576,1024,MAGMA-distance,64,0.009305182
1048576,1024,MAGMA-distance,64,0.00936322
1048576,1024,MAGMA-distance,64,0.009345723
1048576,1024,MAGMA-distance,64,0.009339905
1048576,1024,MAGMA-distance,64,0.009988169000000002
1048576,1024,MAGMA-distance,64,0.010301805
1048576,1024,baseline,128,0.665740976
1048576,1024,baseline,128,0.665758963
1048576,1024,baseline,128,0.665735818
1048576,1024,baseline,128,0.665681235
1048576,1024,baseline,128,0.665666543
1048576,1024,baseline,128,0.665672893
1048576,1024,baseline,128,0.665643097
1048576,1024,baseline,128,0.665754536
1048576,1024,baseline,128,0.665751381
1048576,1024,baseline,128,0.665739734
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024562242
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024543143
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024543073
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024359084
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024511415
1048576,1024,cuBLAS GEMM + postprocessing,128,0.02424463
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024397061
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024273824
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024507539
1048576,1024,cuBLAS GEMM + postprocessing,128,0.024572117
1048576,1024,MAGMA-distance,128,0.019855794
1048576,1024,MAGMA-distance,128,0.019858489
1048576,1024,MAGMA-distance,128,0.019866561
1048576,1024,MAGMA-distance,128,0.019861773
1048576,1024,MAGMA-distance,128,0.01997785
1048576,1024,MAGMA-distance,128,0.020094026
1048576,1024,MAGMA-distance,128,0.02010279
1048576,1024,MAGMA-distance,128,0.020102229
1048576,1024,MAGMA-distance,128,0.020106114
1048576,1024,MAGMA-distance,128,0.019967765
1048576,1024,baseline,256,1.320426632
1048576,1024,baseline,256,1.320610651
1048576,1024,baseline,256,1.320562789
1048576,1024,baseline,256,1.32062307
1048576,1024,baseline,256,1.320622409
1048576,1024,baseline,256,1.320705616
1048576,1024,baseline,256,1.320598473
1048576,1024,baseline,256,1.320676952
1048576,1024,baseline,256,1.32055701
1048576,1024,baseline,256,1.320728441
1048576,1024,cuBLAS GEMM + postprocessing,256,0.032326203
1048576,1024,cuBLAS GEMM + postprocessing,256,0.03071125
1048576,1024,cuBLAS GEMM + postprocessing,256,0.034452252
1048576,1024,cuBLAS GEMM + postprocessing,256,0.032020189
1048576,1024,cuBLAS GEMM + postprocessing,256,0.031404723
1048576,1024,cuBLAS GEMM + postprocessing,256,0.033548239
1048576,1024,cuBLAS GEMM + postprocessing,256,0.03125779
1048576,1024,cuBLAS GEMM + postprocessing,256,0.033088591
1048576,1024,cuBLAS GEMM + postprocessing,256,0.032977993
1048576,1024,cuBLAS GEMM + postprocessing,256,0.031234054
1048576,1024,MAGMA-distance,256,0.038292304
1048576,1024,MAGMA-distance,256,0.037774066
1048576,1024,MAGMA-distance,256,0.03784268
1048576,1024,MAGMA-distance,256,0.038221206
1048576,1024,MAGMA-distance,256,0.038462051
1048576,1024,MAGMA-distance,256,0.038216659
1048576,1024,MAGMA-distance,256,0.038624838
1048576,1024,MAGMA-distance,256,0.038642265
1048576,1024,MAGMA-distance,256,0.038651058
1048576,1024,MAGMA-distance,256,0.038422812
524288,2048,baseline,4,0.008887277
524288,2048,baseline,4,0.009129685
524288,2048,baseline,4,0.00919913
524288,2048,baseline,4,0.009200533
524288,2048,baseline,4,0.009199872
524288,2048,baseline,4,0.009145879
524288,2048,baseline,4,0.009039428
524288,2048,baseline,4,0.00904073
524288,2048,baseline,4,0.009039788
524288,2048,baseline,4,0.00904057
524288,2048,cuBLAS GEMM + postprocessing,4,0.022758022
524288,2048,cuBLAS GEMM + postprocessing,4,0.02246697
524288,2048,cuBLAS GEMM + postprocessing,4,0.022445448
524288,2048,cuBLAS GEMM + postprocessing,4,0.02273735
524288,2048,cuBLAS GEMM + postprocessing,4,0.022729228
524288,2048,cuBLAS GEMM + postprocessing,4,0.02288153
524288,2048,cuBLAS GEMM + postprocessing,4,0.022792825
