point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.003136226
1048576,1024,baseline,4,0.003129776
1048576,1024,baseline,4,0.002984558
1048576,1024,baseline,4,0.002960558
1048576,1024,baseline,4,0.002938048
1048576,1024,baseline,4,0.002940589
1048576,1024,baseline,4,0.002934888
1048576,1024,baseline,4,0.002936898
1048576,1024,baseline,4,0.002934329
1048576,1024,baseline,4,0.002936238
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011842332
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011850172
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011842693
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011850202
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011835482
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011855042
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011845282
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011853082
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011838092
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011850092
1048576,1024,MAGMA-distance,4,0.003276885
1048576,1024,MAGMA-distance,4,0.003278475
1048576,1024,MAGMA-distance,4,0.003293175
1048576,1024,MAGMA-distance,4,0.003281835
1048576,1024,MAGMA-distance,4,0.003290164
1048576,1024,MAGMA-distance,4,0.003273015
1048576,1024,MAGMA-distance,4,0.003289654
1048576,1024,MAGMA-distance,4,0.003272155
1048576,1024,MAGMA-distance,4,0.003273004
1048576,1024,MAGMA-distance,4,0.003281725
1048576,1024,baseline,8,0.004396183
1048576,1024,baseline,8,0.004407042
1048576,1024,baseline,8,0.004414153
1048576,1024,baseline,8,0.004409183
1048576,1024,baseline,8,0.004404053
1048576,1024,baseline,8,0.004399233
1048576,1024,baseline,8,0.004411212
1048576,1024,baseline,8,0.004412953
1048576,1024,baseline,8,0.004409162
1048576,1024,baseline,8,0.004452862
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011808333
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011799812
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011811173
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011804643
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011799063
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011807432
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011805703
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011797823
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011802913
1048576,1024,cuBLAS GEMM + postprocessing,8,0.011804523
1048576,1024,MAGMA-distance,8,0.003386944
1048576,1024,MAGMA-distance,8,0.003381704
1048576,1024,MAGMA-distance,8,0.003394894
1048576,1024,MAGMA-distance,8,0.003396404
1048576,1024,MAGMA-distance,8,0.003382963
1048576,1024,MAGMA-distance,8,0.003387514
1048576,1024,MAGMA-distance,8,0.003381173
1048576,1024,MAGMA-distance,8,0.003383794
1048576,1024,MAGMA-distance,8,0.003381613
1048576,1024,MAGMA-distance,8,0.003381864
1048576,1024,baseline,16,0.008537268
1048576,1024,baseline,16,0.008550277999999998
1048576,1024,baseline,16,0.008550968
1048576,1024,baseline,16,0.008661447
