point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.006084584
1048576,1024,baseline,4,0.006084283
1048576,1024,baseline,4,0.006084844
1048576,1024,baseline,4,0.006085695
1048576,1024,baseline,4,0.006083942
1048576,1024,baseline,4,0.006085414
1048576,1024,baseline,4,0.006087178
1048576,1024,baseline,4,0.006084984
1048576,1024,baseline,4,0.006085776
1048576,1024,baseline,4,0.006085244
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010398396
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010392576
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010387939
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010389421
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010385566
1048576,1024,cuBLAS GEMM + postprocessing,4,0.01039552
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010404365
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010398466
1048576,1024,cuBLAS GEMM + postprocessing,4,0.01039502
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010385065
1048576,1024,MAGMA-distance,4,0.002819212
1048576,1024,MAGMA-distance,4,0.002819492
1048576,1024,MAGMA-distance,4,0.002825942
1048576,1024,MAGMA-distance,4,0.002821084
1048576,1024,MAGMA-distance,4,0.002816136
1048576,1024,MAGMA-distance,4,0.002827815
1048576,1024,MAGMA-distance,4,0.002822226
1048576,1024,MAGMA-distance,4,0.002823077
1048576,1024,MAGMA-distance,4,0.00281803
1048576,1024,MAGMA-distance,4,0.002808455
1048576,1024,baseline,8,0.013137384
1048576,1024,baseline,8,0.013132617
1048576,1024,baseline,8,0.013130974
1048576,1024,baseline,8,0.013129031
1048576,1024,baseline,8,0.013143293
1048576,1024,baseline,8,0.013144114
1048576,1024,baseline,8,0.013129241
1048576,1024,baseline,8,0.013154791
1048576,1024,baseline,8,0.01311502
1048576,1024,baseline,8,0.01312776
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010425076
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010422402
1048576,1024,cuBLAS GEMM + postprocessing,8,0.0104213
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010429182
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010420469
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010428672
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010415522
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010420869
1048576,1024,cuBLAS GEMM + postprocessing,8,0.01042138
1048576,1024,cuBLAS GEMM + postprocessing,8,0.010416473
1048576,1024,MAGMA-distance,8,0.003003603
1048576,1024,MAGMA-distance,8,0.003006688
1048576,1024,MAGMA-distance,8,0.003004444
1048576,1024,MAGMA-distance,8,0.003004424
1048576,1024,MAGMA-distance,8,0.003004003
1048576,1024,MAGMA-distance,8,0.003004524
1048576,1024,MAGMA-distance,8,0.003001439
1048576,1024,MAGMA-distance,8,0.002996111
1048576,1024,MAGMA-distance,8,0.00299486
1048576,1024,MAGMA-distance,8,0.002998575
1048576,1024,baseline,16,0.03967277
1048576,1024,baseline,16,0.039667773
1048576,1024,baseline,16,0.039672109
1048576,1024,baseline,16,0.039680392
1048576,1024,baseline,16,0.039668844
1048576,1024,baseline,16,0.03967264
1048576,1024,baseline,16,0.039676536
1048576,1024,baseline,16,0.039663646
1048576,1024,baseline,16,0.039667972
1048576,1024,baseline,16,0.039681744
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010535365
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010543737
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010537067
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010528303
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010537057
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010531448
1048576,1024,cuBLAS GEMM + postprocessing,16,0.01053291
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010534533
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010533521
1048576,1024,cuBLAS GEMM + postprocessing,16,0.010542475
1048576,1024,MAGMA-distance,16,0.003280785
1048576,1024,MAGMA-distance,16,0.003275778
1048576,1024,MAGMA-distance,16,0.003273475
1048576,1024,MAGMA-distance,16,0.003280305
1048576,1024,MAGMA-distance,16,0.003278712
1048576,1024,MAGMA-distance,16,0.003284171
1048576,1024,MAGMA-distance,16,0.003282539
1048576,1024,MAGMA-distance,16,0.003283861
1048576,1024,MAGMA-distance,16,0.003283821
1048576,1024,MAGMA-distance,16,0.003276779
1048576,1024,baseline,32,0.07628424
1048576,1024,baseline,32,0.07626152499999998
1048576,1024,baseline,32,0.07627434399999998
1048576,1024,baseline,32,0.076272241
1048576,1024,baseline,32,0.07625685799999998
1048576,1024,baseline,32,0.07627721899999998
1048576,1024,baseline,32,0.076280584
1048576,1024,baseline,32,0.076262677
1048576,1024,baseline,32,0.07626998799999998
1048576,1024,baseline,32,0.076266863
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011282104
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011310257
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011293632
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011314203
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011298539
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011280011
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011277957
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011292419
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011290777
1048576,1024,cuBLAS GEMM + postprocessing,32,0.011280321
1048576,1024,MAGMA-distance,32,0.004910332
1048576,1024,MAGMA-distance,32,0.004895329
1048576,1024,MAGMA-distance,32,0.004909952
1048576,1024,MAGMA-distance,32,0.004907518
1048576,1024,MAGMA-distance,32,0.00490901
1048576,1024,MAGMA-distance,32,0.004899856
1048576,1024,MAGMA-distance,32,0.00490937
1048576,1024,MAGMA-distance,32,0.004911784
1048576,1024,MAGMA-distance,32,0.004911544
1048576,1024,MAGMA-distance,32,0.00490227
1048576,1024,baseline,64,0.148672746
1048576,1024,baseline,64,0.148651132
1048576,1024,baseline,64,0.148657051
1048576,1024,baseline,64,0.148674799
1048576,1024,baseline,64,0.148657051
1048576,1024,baseline,64,0.148660577
1048576,1024,baseline,64,0.148690392
1048576,1024,baseline,64,0.148658394
1048576,1024,baseline,64,0.148662831
1048576,1024,baseline,64,0.148644893
1048576,1024,cuBLAS GEMM + postprocessing,64,0.013088489
1048576,1024,cuBLAS GEMM + postprocessing,64,0.01310166
1048576,1024,cuBLAS GEMM + postprocessing,64,0.013125637
1048576,1024,cuBLAS GEMM + postprocessing,64,0.013113508
1048576,1024,cuBLAS GEMM + postprocessing,64,0.013112556
1048576,1024,cuBLAS GEMM + postprocessing,64,0.013104815
1048576,1024,cuBLAS GEMM + postprocessing,64,0.013116583
