point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.028064853
1048576,1024,baseline,4,0.028057016
1048576,1024,baseline,4,0.028061214
1048576,1024,baseline,4,0.028053552
1048576,1024,baseline,4,0.028073524
1048576,1024,baseline,4,0.028054654
1048576,1024,baseline,4,0.028050579
1048576,1024,baseline,4,0.028063052
1048576,1024,baseline,4,0.028068855
1048576,1024,baseline,4,0.028066232
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027395814
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02588364
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027430343
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02663652
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027294911
1048576,1024,cuBLAS GEMM + postprocessing,4,0.028248946
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027419715
1048576,1024,cuBLAS GEMM + postprocessing,4,0.028195953
1048576,1024,cuBLAS GEMM + postprocessing,4,0.026679198
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02597408
1048576,1024,MAGMA-distance,4,0.007429532
1048576,1024,MAGMA-distance,4,0.007388417
1048576,1024,MAGMA-distance,4,0.007422179
1048576,1024,MAGMA-distance,4,0.007422148
1048576,1024,MAGMA-distance,4,0.007343523
1048576,1024,MAGMA-distance,4,0.007309907
1048576,1024,MAGMA-distance,4,0.007317342
1048576,1024,MAGMA-distance,4,0.007405588
1048576,1024,MAGMA-distance,4,0.007349728
1048576,1024,MAGMA-distance,4,0.00732017
1048576,1024,baseline,8,0.050682389
1048576,1024,baseline,8,0.050743567
1048576,1024,baseline,8,0.050737035
1048576,1024,baseline,8,0.050709533
1048576,1024,baseline,8,0.050714598
1048576,1024,baseline,8,0.050652256
1048576,1024,baseline,8,0.05067528
1048576,1024,baseline,8,0.050723193
1048576,1024,baseline,8,0.050717835
1048576,1024,baseline,8,0.050682209
1048576,1024,cuBLAS GEMM + postprocessing,8,0.026614485
1048576,1024,cuBLAS GEMM + postprocessing,8,0.02745815
1048576,1024,cuBLAS GEMM + postprocessing,8,0.028178701
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027456016
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027379859
1048576,1024,cuBLAS GEMM + postprocessing,8,0.026688598
1048576,1024,cuBLAS GEMM + postprocessing,8,0.026753302
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027420654
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027451717
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027446493
1048576,1024,MAGMA-distance,8,0.007956678
1048576,1024,MAGMA-distance,8,0.007974851
1048576,1024,MAGMA-distance,8,0.007905050999999998
1048576,1024,MAGMA-distance,8,0.007914812999999998
1048576,1024,MAGMA-distance,8,0.007944779
1048576,1024,MAGMA-distance,8,0.007857506
1048576,1024,MAGMA-distance,8,0.007964212
1048576,1024,MAGMA-distance,8,0.007921747999999998
1048576,1024,MAGMA-distance,8,0.007924703
1048576,1024,MAGMA-distance,8,0.007978195
1048576,1024,baseline,16,0.093715979
1048576,1024,baseline,16,0.09372167
1048576,1024,baseline,16,0.09375695
1048576,1024,baseline,16,0.093670972
1048576,1024,baseline,16,0.093702082
1048576,1024,baseline,16,0.09371063
1048576,1024,baseline,16,0.093722516
1048576,1024,baseline,16,0.093707879
1048576,1024,baseline,16,0.093726189
1048576,1024,baseline,16,0.09371601600000001
1048576,1024,cuBLAS GEMM + postprocessing,16,0.028154441
1048576,1024,cuBLAS GEMM + postprocessing,16,0.02664557
1048576,1024,cuBLAS GEMM + postprocessing,16,0.027371527
1048576,1024,cuBLAS GEMM + postprocessing,16,0.026517151
1048576,1024,cuBLAS GEMM + postprocessing,16,0.027402458
1048576,1024,cuBLAS GEMM + postprocessing,16,0.025266764
1048576,1024,cuBLAS GEMM + postprocessing,16,0.028017116
1048576,1024,cuBLAS GEMM + postprocessing,16,0.026707739
1048576,1024,cuBLAS GEMM + postprocessing,16,0.02669929
1048576,1024,cuBLAS GEMM + postprocessing,16,0.026750296
1048576,1024,MAGMA-distance,16,0.008688286999999998
1048576,1024,MAGMA-distance,16,0.008672031999999998
1048576,1024,MAGMA-distance,16,0.008705743999999998
1048576,1024,MAGMA-distance,16,0.008635246
1048576,1024,MAGMA-distance,16,0.008660884
1048576,1024,MAGMA-distance,16,0.008584766
1048576,1024,MAGMA-distance,16,0.00870267
1048576,1024,MAGMA-distance,16,0.008699902
1048576,1024,MAGMA-distance,16,0.008734690999999998
1048576,1024,MAGMA-distance,16,0.00865767
1048576,1024,baseline,32,0.177335316
1048576,1024,baseline,32,0.177298209
1048576,1024,baseline,32,0.177358813
1048576,1024,baseline,32,0.177315915
1048576,1024,baseline,32,0.177374482
1048576,1024,baseline,32,0.177321897
1048576,1024,baseline,32,0.177346218
1048576,1024,baseline,32,0.177353149
1048576,1024,baseline,32,0.177339389
1048576,1024,baseline,32,0.177331614
1048576,1024,cuBLAS GEMM + postprocessing,32,0.027984436
