point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.008779834
1048576,1024,baseline,4,0.009176686000000002
1048576,1024,baseline,4,0.009179131
1048576,1024,baseline,4,0.009176717
1048576,1024,baseline,4,0.009177127
1048576,1024,baseline,4,0.009177337
1048576,1024,baseline,4,0.009177307
1048576,1024,baseline,4,0.008804221
1048576,1024,baseline,4,0.008747895
1048576,1024,baseline,4,0.008748265999999998
1048576,1024,Kuang et al.,4,0.00933039
1048576,1024,Kuang et al.,4,0.00933035
1048576,1024,Kuang et al.,4,0.009329118
1048576,1024,Kuang et al.,4,0.009329048
1048576,1024,Kuang et al.,4,0.009307244
1048576,1024,Kuang et al.,4,0.00933029
1048576,1024,Kuang et al.,4,0.009253273
1048576,1024,Kuang et al.,4,0.009253704
1048576,1024,Kuang et al.,4,0.009253864
1048576,1024,Kuang et al.,4,0.009253693
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02267758
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022436053
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022668967
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022785454
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02254608
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022865405
1048576,1024,cuBLAS GEMM + postprocessing,4,0.023012349
1048576,1024,cuBLAS GEMM + postprocessing,4,0.023138711
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022566952
1048576,1024,cuBLAS GEMM + postprocessing,4,0.022492479
1048576,1024,MAGMA-distance (unexpanded),4,0.005835242
1048576,1024,MAGMA-distance (unexpanded),4,0.005831627
1048576,1024,MAGMA-distance (unexpanded),4,0.005824435
1048576,1024,MAGMA-distance (unexpanded),4,0.005836553
1048576,1024,MAGMA-distance (unexpanded),4,0.005830695
1048576,1024,MAGMA-distance (unexpanded),4,0.005838266
1048576,1024,MAGMA-distance (unexpanded),4,0.005841121
1048576,1024,MAGMA-distance (unexpanded),4,0.005835362
1048576,1024,MAGMA-distance (unexpanded),4,0.005832849
1048576,1024,MAGMA-distance (unexpanded),4,0.005834791
1048576,1024,MAGMA-distance,4,0.005819127
1048576,1024,MAGMA-distance,4,0.005826228
1048576,1024,MAGMA-distance,4,0.005825507
1048576,1024,MAGMA-distance,4,0.005818647
1048576,1024,MAGMA-distance,4,0.005826959
1048576,1024,MAGMA-distance,4,0.0058336
1048576,1024,MAGMA-distance,4,0.005828592
1048576,1024,MAGMA-distance,4,0.00583432
1048576,1024,MAGMA-distance,4,0.005821171
1048576,1024,MAGMA-distance,4,0.005819227
1048576,1024,baseline,8,0.013062147
1048576,1024,baseline,8,0.013324796
1048576,1024,baseline,8,0.013449525
1048576,1024,baseline,8,0.013441013
1048576,1024,baseline,8,0.013324505
1048576,1024,baseline,8,0.013323764
1048576,1024,baseline,8,0.013324916
1048576,1024,baseline,8,0.013324746
1048576,1024,baseline,8,0.013323765
1048576,1024,baseline,8,0.013324365
1048576,1024,Kuang et al.,8,0.009330641
1048576,1024,Kuang et al.,8,0.00933019
1048576,1024,Kuang et al.,8,0.009329959
1048576,1024,Kuang et al.,8,0.009329678
1048576,1024,Kuang et al.,8,0.00933028
1048576,1024,Kuang et al.,8,0.009330741
1048576,1024,Kuang et al.,8,0.00933051
1048576,1024,Kuang et al.,8,0.0093301
1048576,1024,Kuang et al.,8,0.009329709
1048576,1024,Kuang et al.,8,0.00933035
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022522214
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022422393
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022851384
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022801288
1048576,1024,cuBLAS GEMM + postprocessing,8,0.02286214
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022986589
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022808579
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022828108
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022539541
1048576,1024,cuBLAS GEMM + postprocessing,8,0.022898946
1048576,1024,MAGMA-distance (unexpanded),8,0.006101567
1048576,1024,MAGMA-distance (unexpanded),8,0.00610358
1048576,1024,MAGMA-distance (unexpanded),8,0.006105122
1048576,1024,MAGMA-distance (unexpanded),8,0.006106013
1048576,1024,MAGMA-distance (unexpanded),8,0.00610407
1048576,1024,MAGMA-distance (unexpanded),8,0.006093544
1048576,1024,MAGMA-distance (unexpanded),8,0.006106564
1048576,1024,MAGMA-distance (unexpanded),8,0.00611068
1048576,1024,MAGMA-distance (unexpanded),8,0.006108136
1048576,1024,MAGMA-distance (unexpanded),8,0.006109108
1048576,1024,MAGMA-distance,8,0.006092242
1048576,1024,MAGMA-distance,8,0.006093955
1048576,1024,MAGMA-distance,8,0.006099203
1048576,1024,MAGMA-distance,8,0.006092061
1048576,1024,MAGMA-distance,8,0.006091752
1048576,1024,MAGMA-distance,8,0.006091941
1048576,1024,MAGMA-distance,8,0.00609719
1048576,1024,MAGMA-distance,8,0.006092062
1048576,1024,MAGMA-distance,8,0.006088557
1048576,1024,MAGMA-distance,8,0.006094576
1048576,1024,baseline,16,0.023109075
1048576,1024,baseline,16,0.023107814
1048576,1024,baseline,16,0.023108424
1048576,1024,baseline,16,0.023106331
1048576,1024,baseline,16,0.023109556
1048576,1024,baseline,16,0.023109916
1048576,1024,baseline,16,0.023106722
1048576,1024,baseline,16,0.023107192
1048576,1024,baseline,16,0.023107442
1048576,1024,baseline,16,0.023106382
1048576,1024,Kuang et al.,16,0.012353411
1048576,1024,Kuang et al.,16,0.012353801
1048576,1024,Kuang et al.,16,0.012350917
1048576,1024,Kuang et al.,16,0.012757545
1048576,1024,Kuang et al.,16,0.012842674
1048576,1024,Kuang et al.,16,0.012841523
1048576,1024,Kuang et al.,16,0.012841252
1048576,1024,Kuang et al.,16,0.012843315
1048576,1024,Kuang et al.,16,0.012841863
1048576,1024,Kuang et al.,16,0.012943898
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022882
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022676418
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023005668
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022929242
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023147583
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022807998
1048576,1024,cuBLAS GEMM + postprocessing,16,0.022925316
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023181085
1048576,1024,cuBLAS GEMM + postprocessing,16,0.023163288
1048576,1024,cuBLAS GEMM + postprocessing,16,0.0228619
1048576,1024,MAGMA-distance (unexpanded),16,0.006605792
1048576,1024,MAGMA-distance (unexpanded),16,0.006609608
1048576,1024,MAGMA-distance (unexpanded),16,0.006610208
1048576,1024,MAGMA-distance (unexpanded),16,0.00660445
1048576,1024,MAGMA-distance (unexpanded),16,0.006603338
1048576,1024,MAGMA-distance (unexpanded),16,0.006606503
1048576,1024,MAGMA-distance (unexpanded),16,0.006602327
1048576,1024,MAGMA-distance (unexpanded),16,0.006601054
1048576,1024,MAGMA-distance (unexpanded),16,0.006607645
1048576,1024,MAGMA-distance (unexpanded),16,0.006605031
1048576,1024,MAGMA-distance,16,0.006595767
1048576,1024,MAGMA-distance,16,0.006607926
1048576,1024,MAGMA-distance,16,0.00659169
1048576,1024,MAGMA-distance,16,0.006594144
1048576,1024,MAGMA-distance,16,0.006595497
1048576,1024,MAGMA-distance,16,0.006593544
1048576,1024,MAGMA-distance,16,0.006601005
1048576,1024,MAGMA-distance,16,0.006589016
1048576,1024,MAGMA-distance,16,0.006596628
1048576,1024,MAGMA-distance,16,0.006599192
1048576,1024,baseline,32,0.171878488
1048576,1024,baseline,32,0.171657352
1048576,1024,baseline,32,0.171712425
1048576,1024,baseline,32,0.171685485
1048576,1024,baseline,32,0.171687197
1048576,1024,baseline,32,0.171706707
1048576,1024,baseline,32,0.171843675
1048576,1024,baseline,32,0.171650662
1048576,1024,baseline,32,0.171666496
1048576,1024,baseline,32,0.171640717
1048576,1024,Kuang et al.,32,0.020428464
1048576,1024,Kuang et al.,32,0.020433091
1048576,1024,Kuang et al.,32,0.020431068
1048576,1024,Kuang et al.,32,0.020435125
1048576,1024,Kuang et al.,32,0.02043192
1048576,1024,Kuang et al.,32,0.020433191
1048576,1024,Kuang et al.,32,0.020437839
1048576,1024,Kuang et al.,32,0.020438279
1048576,1024,Kuang et al.,32,0.020436086
1048576,1024,Kuang et al.,32,0.020431508
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023010576
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023182377
1048576,1024,cuBLAS GEMM + postprocessing,32,0.022622767
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023037266
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023114574
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023677018
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023215206
1048576,1024,cuBLAS GEMM + postprocessing,32,0.022823481
1048576,1024,cuBLAS GEMM + postprocessing,32,0.022682217
1048576,1024,cuBLAS GEMM + postprocessing,32,0.023076035
1048576,1024,MAGMA-distance (unexpanded),32,0.007517307
1048576,1024,MAGMA-distance (unexpanded),32,0.007511366999999999
1048576,1024,MAGMA-distance (unexpanded),32,0.007517717
1048576,1024,MAGMA-distance (unexpanded),32,0.007515664
1048576,1024,MAGMA-distance (unexpanded),32,0.007514322
1048576,1024,MAGMA-distance (unexpanded),32,0.00752
1048576,1024,MAGMA-distance (unexpanded),32,0.007507281
1048576,1024,MAGMA-distance (unexpanded),32,0.007512307999999999
1048576,1024,MAGMA-distance (unexpanded),32,0.007505218
1048576,1024,MAGMA-distance (unexpanded),32,0.007518998
1048576,1024,MAGMA-distance,32,0.007490025
1048576,1024,MAGMA-distance,32,0.007498508
1048576,1024,MAGMA-distance,32,0.007572049
1048576,1024,MAGMA-distance,32,0.007573721999999998
1048576,1024,MAGMA-distance,32,0.007568193
1048576,1024,MAGMA-distance,32,0.007551628
1048576,1024,MAGMA-distance,32,0.007560482
1048576,1024,MAGMA-distance,32,0.007564839
1048576,1024,MAGMA-distance,32,0.007524327
1048576,1024,MAGMA-distance,32,0.007513741
1048576,1024,baseline,64,0.337318558
1048576,1024,baseline,64,0.337353862
1048576,1024,baseline,64,0.337329515
1048576,1024,baseline,64,0.33736573
1048576,1024,baseline,64,0.337346711
1048576,1024,baseline,64,0.337353661
1048576,1024,baseline,64,0.337340382
1048576,1024,baseline,64,0.33735944
1048576,1024,baseline,64,0.337335033
1048576,1024,baseline,64,0.337343716
1048576,1024,Kuang et al.,64,0.036601656
1048576,1024,Kuang et al.,64,0.036545911
1048576,1024,Kuang et al.,64,0.036735109
1048576,1024,Kuang et al.,64,0.036733927
1048576,1024,Kuang et al.,64,0.036782231
1048576,1024,Kuang et al.,64,0.036901341
1048576,1024,Kuang et al.,64,0.036918938
1048576,1024,Kuang et al.,64,0.036791905
1048576,1024,Kuang et al.,64,0.036739005
1048576,1024,Kuang et al.,64,0.036913169
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023784982
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023383441
1048576,1024,cuBLAS GEMM + postprocessing,64,0.02361887
1048576,1024,cuBLAS GEMM + postprocessing,64,0.023839995
