point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.003136226
1048576,1024,baseline,4,0.003129776
1048576,1024,baseline,4,0.002984558
1048576,1024,baseline,4,0.002960558
1048576,1024,baseline,4,0.002938048
1048576,1024,baseline,4,0.002940589
1048576,1024,baseline,4,0.002934888
1048576,1024,baseline,4,0.002936898
1048576,1024,baseline,4,0.002934329
1048576,1024,baseline,4,0.002936238
1048576,1024,Kuang et al.,4,0.006439491
1048576,1024,Kuang et al.,4,0.006440431
1048576,1024,Kuang et al.,4,0.00643737
1048576,1024,Kuang et al.,4,0.006437001
1048576,1024,Kuang et al.,4,0.006438451
1048576,1024,Kuang et al.,4,0.006438121
1048576,1024,Kuang et al.,4,0.00643745
1048576,1024,Kuang et al.,4,0.006437581
1048576,1024,Kuang et al.,4,0.00643705
1048576,1024,Kuang et al.,4,0.006437351
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011842332
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011850172
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011842693
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011850202
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011835482
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011855042
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011845282
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011853082
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011838092
1048576,1024,cuBLAS GEMM + postprocessing,4,0.011850092
1048576,1024,MAGMA-distance (unexpanded),4,0.003271464
1048576,1024,MAGMA-distance (unexpanded),4,0.003279535
1048576,1024,MAGMA-distance (unexpanded),4,0.003271965
1048576,1024,MAGMA-distance (unexpanded),4,0.003279524
1048576,1024,MAGMA-distance (unexpanded),4,0.003270435
1048576,1024,MAGMA-distance (unexpanded),4,0.003285034
1048576,1024,MAGMA-distance (unexpanded),4,0.003273605
1048576,1024,MAGMA-distance (unexpanded),4,0.003266055
1048576,1024,MAGMA-distance (unexpanded),4,0.003274435
1048576,1024,MAGMA-distance (unexpanded),4,0.003265664
1048576,1024,MAGMA-distance,4,0.003276885
1048576,1024,MAGMA-distance,4,0.003278475
1048576,1024,MAGMA-distance,4,0.003293175
1048576,1024,MAGMA-distance,4,0.003281835
1048576,1024,MAGMA-distance,4,0.003290164
1048576,1024,MAGMA-distance,4,0.003273015
1048576,1024,MAGMA-distance,4,0.003289654
1048576,1024,MAGMA-distance,4,0.003272155
1048576,1024,MAGMA-distance,4,0.003273004
1048576,1024,MAGMA-distance,4,0.003281725
1048576,1024,baseline,8,0.004396183
1048576,1024,baseline,8,0.004407042
1048576,1024,baseline,8,0.004414153
1048576,1024,baseline,8,0.004409183
1048576,1024,baseline,8,0.004404053
1048576,1024,baseline,8,0.004399233
1048576,1024,baseline,8,0.004411212
1048576,1024,baseline,8,0.004412953
1048576,1024,baseline,8,0.004409162
1048576,1024,baseline,8,0.004452862
1048576,1024,Kuang et al.,8,0.00648239
1048576,1024,Kuang et al.,8,0.00648225
1048576,1024,Kuang et al.,8,0.006480281
1048576,1024,Kuang et al.,8,0.0064814
1048576,1024,Kuang et al.,8,0.00648103
