point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.006074344
1048576,1024,baseline,4,0.006073372
1048576,1024,baseline,4,0.006074084
1048576,1024,baseline,4,0.006074093
1048576,1024,baseline,4,0.006079461
1048576,1024,baseline,4,0.006073953
1048576,1024,baseline,4,0.006074133
1048576,1024,baseline,4,0.006074273
1048576,1024,baseline,4,0.006074223
1048576,1024,baseline,4,0.006073282
1048576,1024,Kuang et al.,4,0.008873076
1048576,1024,Kuang et al.,4,0.008873337
1048576,1024,Kuang et al.,4,0.008870864
1048576,1024,Kuang et al.,4,0.008872556
1048576,1024,Kuang et al.,4,0.008872336
1048576,1024,Kuang et al.,4,0.008872095
1048576,1024,Kuang et al.,4,0.008873168
1048576,1024,Kuang et al.,4,0.008872036
1048576,1024,Kuang et al.,4,0.008873687999999998
1048576,1024,Kuang et al.,4,0.008872206
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010393834
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010388215
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010403738
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010396217
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010393082
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010387153
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010389407
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010393924
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010392011
1048576,1024,cuBLAS GEMM + postprocessing,4,0.010396178
1048576,1024,MAGMA-distance (unexpanded),4,0.002884785
1048576,1024,MAGMA-distance (unexpanded),4,0.002885646
1048576,1024,MAGMA-distance (unexpanded),4,0.002882762
1048576,1024,MAGMA-distance (unexpanded),4,0.002883683
1048576,1024,MAGMA-distance (unexpanded),4,0.002882631
1048576,1024,MAGMA-distance (unexpanded),4,0.002882401
1048576,1024,MAGMA-distance (unexpanded),4,0.002887319
1048576,1024,MAGMA-distance (unexpanded),4,0.002891285
1048576,1024,MAGMA-distance (unexpanded),4,0.002882681
1048576,1024,MAGMA-distance (unexpanded),4,0.002888721
1048576,1024,MAGMA-distance,4,0.002818564
