point_count,query_count,algorithm,dim,time
1048576,1024,baseline,4,0.028064853
1048576,1024,baseline,4,0.028057016
1048576,1024,baseline,4,0.028061214
1048576,1024,baseline,4,0.028053552
1048576,1024,baseline,4,0.028073524
1048576,1024,baseline,4,0.028054654
1048576,1024,baseline,4,0.028050579
1048576,1024,baseline,4,0.028063052
1048576,1024,baseline,4,0.028068855
1048576,1024,baseline,4,0.028066232
1048576,1024,Kuang et al.,4,0.016032919
1048576,1024,Kuang et al.,4,0.01603235
1048576,1024,Kuang et al.,4,0.016053008
1048576,1024,Kuang et al.,4,0.016065504
1048576,1024,Kuang et al.,4,0.016041641
1048576,1024,Kuang et al.,4,0.016130849
1048576,1024,Kuang et al.,4,0.016057235
1048576,1024,Kuang et al.,4,0.016031845
1048576,1024,Kuang et al.,4,0.016085136
1048576,1024,Kuang et al.,4,0.016025343
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027395814
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02588364
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027430343
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02663652
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027294911
1048576,1024,cuBLAS GEMM + postprocessing,4,0.028248946
1048576,1024,cuBLAS GEMM + postprocessing,4,0.027419715
1048576,1024,cuBLAS GEMM + postprocessing,4,0.028195953
1048576,1024,cuBLAS GEMM + postprocessing,4,0.026679198
1048576,1024,cuBLAS GEMM + postprocessing,4,0.02597408
1048576,1024,MAGMA-distance (unexpanded),4,0.00746375
1048576,1024,MAGMA-distance (unexpanded),4,0.007412837
1048576,1024,MAGMA-distance (unexpanded),4,0.007464056
1048576,1024,MAGMA-distance (unexpanded),4,0.007444053
1048576,1024,MAGMA-distance (unexpanded),4,0.00741273
1048576,1024,MAGMA-distance (unexpanded),4,0.007386646999999999
1048576,1024,MAGMA-distance (unexpanded),4,0.007433483
1048576,1024,MAGMA-distance (unexpanded),4,0.007454287
1048576,1024,MAGMA-distance (unexpanded),4,0.007400982
1048576,1024,MAGMA-distance (unexpanded),4,0.007478501
1048576,1024,MAGMA-distance,4,0.007429532
1048576,1024,MAGMA-distance,4,0.007388417
1048576,1024,MAGMA-distance,4,0.007422179
1048576,1024,MAGMA-distance,4,0.007422148
1048576,1024,MAGMA-distance,4,0.007343523
1048576,1024,MAGMA-distance,4,0.007309907
1048576,1024,MAGMA-distance,4,0.007317342
1048576,1024,MAGMA-distance,4,0.007405588
1048576,1024,MAGMA-distance,4,0.007349728
1048576,1024,MAGMA-distance,4,0.00732017
1048576,1024,baseline,8,0.050682389
1048576,1024,baseline,8,0.050743567
1048576,1024,baseline,8,0.050737035
1048576,1024,baseline,8,0.050709533
1048576,1024,baseline,8,0.050714598
1048576,1024,baseline,8,0.050652256
1048576,1024,baseline,8,0.05067528
1048576,1024,baseline,8,0.050723193
1048576,1024,baseline,8,0.050717835
1048576,1024,baseline,8,0.050682209
1048576,1024,Kuang et al.,8,0.016942788
1048576,1024,Kuang et al.,8,0.016994721
1048576,1024,Kuang et al.,8,0.016958372
1048576,1024,Kuang et al.,8,0.016936039
1048576,1024,Kuang et al.,8,0.016906093
1048576,1024,Kuang et al.,8,0.016964512
1048576,1024,Kuang et al.,8,0.016915221
1048576,1024,Kuang et al.,8,0.016937819
1048576,1024,Kuang et al.,8,0.016900929
1048576,1024,Kuang et al.,8,0.016863133
1048576,1024,cuBLAS GEMM + postprocessing,8,0.026614485
1048576,1024,cuBLAS GEMM + postprocessing,8,0.02745815
1048576,1024,cuBLAS GEMM + postprocessing,8,0.028178701
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027456016
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027379859
1048576,1024,cuBLAS GEMM + postprocessing,8,0.026688598
1048576,1024,cuBLAS GEMM + postprocessing,8,0.026753302
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027420654
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027451717
1048576,1024,cuBLAS GEMM + postprocessing,8,0.027446493
1048576,1024,MAGMA-distance (unexpanded),8,0.007983102
1048576,1024,MAGMA-distance (unexpanded),8,0.007979498
1048576,1024,MAGMA-distance (unexpanded),8,0.007943891999999998
1048576,1024,MAGMA-distance (unexpanded),8,0.008014391
1048576,1024,MAGMA-distance (unexpanded),8,0.007960218999999998
1048576,1024,MAGMA-distance (unexpanded),8,0.007998332
1048576,1024,MAGMA-distance (unexpanded),8,0.007955412999999998
1048576,1024,MAGMA-distance (unexpanded),8,0.007929332
1048576,1024,MAGMA-distance (unexpanded),8,0.007943423
1048576,1024,MAGMA-distance (unexpanded),8,0.007984942
1048576,1024,MAGMA-distance,8,0.007956678
1048576,1024,MAGMA-distance,8,0.007974851
1048576,1024,MAGMA-distance,8,0.007905050999999998
1048576,1024,MAGMA-distance,8,0.007914812999999998
1048576,1024,MAGMA-distance,8,0.007944779
1048576,1024,MAGMA-distance,8,0.007857506
