k,query_count,point_count,algorithm,dim,time,throughput
8,1024,1048576,bits + MAGMA,4,0.0073012038,147063669692.38687
8,1024,1048576,bits + MAGMA,8,0.0074848386,143455574846.99805
8,1024,1048576,bits + MAGMA,16,0.007631258300000001,140703116286.8645
8,1024,1048576,bits + zero computation,4,0.004741750583611919,226444180280.37695
8,1024,1048576,bits + zero computation,8,0.004753165704691537,225900355828.15472
8,1024,1048576,bits + zero computation,16,0.004780845646850775,224592447302.1404
8,1024,1048576,bits-fused,4,0.0035843531,299563629487.2846
8,1024,1048576,bits-fused,8,0.0049839478,215440022064.43655
8,1024,1048576,bits-fused,16,0.0079591292,134906947358.00998
8,1024,1048576,raftL2-fused,4,0.008361124000000001,128420751085.61957
8,1024,1048576,raftL2-fused,8,0.008426490499999998,127424557590.13794
8,1024,1048576,raftL2-fused,16,0.008497263299999998,126363252036.68811
8,2048,524288,bits + MAGMA,4,0.0072700658,147693549623.71866
8,2048,524288,bits + MAGMA,8,0.0073359418,146367276796.0073
8,2048,524288,bits + MAGMA,16,0.0075677841,141883252721.2292
8,2048,524288,bits + zero computation,4,0.004685686201590762,229153591983.06348
8,2048,524288,bits + zero computation,8,0.004689740540649225,228955485851.11203
8,2048,524288,bits + zero computation,16,0.00470285851876615,228316845959.8289
8,2048,524288,bits-fused,4,0.0031022848999999997,346113222547.67773
8,2048,524288,bits-fused,8,0.004077982,263302247042.77753
8,2048,524288,bits-fused,16,0.006291976100000001,170652559217.4452
8,2048,524288,raftL2-fused,4,0.008413335099999999,127623803311.95891
8,2048,524288,raftL2-fused,8,0.008362933,128392972178.54073
8,2048,524288,raftL2-fused,16,0.008387871699999999,128011236032.61601
8,4096,262144,bits + MAGMA,4,0.0071067464999999995,151087677603.24646
8,4096,262144,bits + MAGMA,8,0.0071377462000000004,150431493907.69876
8,4096,262144,bits + MAGMA,16,0.007384590700000001,145403024706.56903
8,4096,262144,bits + zero computation,4,0.004651161139098837,230854574135.01645
8,4096,262144,bits + zero computation,8,0.0046512083156653745,230852232608.80692
8,4096,262144,bits + zero computation,16,0.0046609966687984495,230367430036.54584
8,4096,262144,bits-fused,4,0.0027620571,388747149361.9737
8,4096,262144,bits-fused,8,0.0034971197,307036051411.1084
8,4096,262144,bits-fused,16,0.0052266395,205436365756.62048
8,4096,262144,raftL2-fused,4,0.0077277863,138945589631.53522
8,4096,262144,raftL2-fused,8,0.0077332475,138847466604.4246
8,4096,262144,raftL2-fused,16,0.007745882899999999,138620972955.83957
8,8192,131072,bits + MAGMA,4,0.0070066295,153246553710.31107
8,8192,131072,bits + MAGMA,8,0.0070611344,152063643484.82022
8,8192,131072,bits + MAGMA,16,0.0072799971,147492067544.91702
8,8192,131072,bits + zero computation,4,0.00463254521489018,231782265297.42664
8,8192,131072,bits + zero computation,8,0.004634319867248062,231693507301.55927
8,8192,131072,bits + zero computation,16,0.004644235671963824,231198823626.01254
8,8192,131072,bits-fused,4,0.0023786594999999997,451406274836.7306
8,8192,131072,bits-fused,8,0.0030176384,355821898342.757
8,8192,131072,bits-fused,16,0.0044346926,242123168582.19217
8,8192,131072,raftL2-fused,4,0.006249051699999999,171824762467.5597
8,8192,131072,raftL2-fused,8,0.006245260399999999,171929071844.6264
8,8192,131072,raftL2-fused,16,0.006435408300000001,166849059755.85107
16,1024,1048576,bits + MAGMA,4,0.007447731000000001,144170328385.92047
16,1024,1048576,bits + MAGMA,8,0.007482874400000001,143493230889.9906
16,1024,1048576,bits + MAGMA,16,0.0076830328000000005,139754944687.9883
16,1024,1048576,bits + zero computation,4,0.004745541083611918,226263308036.25778
