k,query_count,point_count,algorithm,dim,time,throughput
8,1024,1048576,bits + MAGMA,4,0.0051807241,207257094428.17078
8,1024,1048576,bits + MAGMA,8,0.0054472913,197114816312.4671
8,1024,1048576,bits + MAGMA,16,0.0056771532,189133846872.4078
8,1024,1048576,bits + zero computation,4,0.004212582207498314,254889227345.8214
8,1024,1048576,bits + zero computation,8,0.004218275661097658,254545200519.3507
8,1024,1048576,bits + zero computation,16,0.004238897968296346,253306834000.4294
8,1024,1048576,bits-fused,4,0.0029325083,366151333314.2143
8,1024,1048576,bits-fused,8,0.0040161026,267359161591.14062
8,1024,1048576,bits-fused,16,0.0061800324,173743720825.8002
8,1024,1048576,raftL2-fused,4,0.0061171483,175529801034.9038
8,1024,1048576,raftL2-fused,8,0.0062290051,172377740387.46573
8,1024,1048576,raftL2-fused,16,0.006255104,171658508635.5079
8,2048,524288,bits + MAGMA,4,0.0051527348,208382900668.59253
8,2048,524288,bits + MAGMA,8,0.0054003796,198827101709.665
8,2048,524288,bits + MAGMA,16,0.005632551,190631531609.74484
8,2048,524288,bits + zero computation,4,0.004208080955899031,255161874320.5955
8,2048,524288,bits + zero computation,8,0.0042100695578990936,255041350085.39337
8,2048,524288,bits + zero computation,16,0.004225782861899215,254092995094.74152
8,2048,524288,bits-fused,4,0.0023168671,463445583046.17474
8,2048,524288,bits-fused,8,0.0033072761,324660473312.1616
8,2048,524288,bits-fused,16,0.0050071145,214443233523.0201
8,2048,524288,raftL2-fused,4,0.0060962056,176132810218.86795
8,2048,524288,raftL2-fused,8,0.0060957059,176147248836.26688
8,2048,524288,raftL2-fused,16,0.0061757288,173864795358.24176
8,4096,262144,bits + MAGMA,4,0.0050436213,212891047946.0462
8,4096,262144,bits + MAGMA,8,0.0053017623,202525455356.6085
8,4096,262144,bits + MAGMA,16,0.0055206736,194494712384.37283
8,4096,262144,bits + zero computation,4,0.004196139755299779,255888003406.90515
8,4096,262144,bits + zero computation,8,0.004196815556700589,255846798481.69067
8,4096,262144,bits + zero computation,16,0.004204452959502207,255382051920.28772
8,4096,262144,bits-fused,4,0.002034996,527638297077.7338
8,4096,262144,bits-fused,8,0.0028319241,379156286003.5691
8,4096,262144,bits-fused,16,0.004074189299999999,263547357507.41876
8,4096,262144,raftL2-fused,4,0.0056367545,190489371853.96313
8,4096,262144,raftL2-fused,8,0.0056510392,190007852714.94843
8,4096,262144,raftL2-fused,16,0.0056503189,190032074826.78543
8,8192,131072,bits + MAGMA,4,0.0050264572,213618017875.49292
8,8192,131072,bits + MAGMA,8,0.0052443329,204743261816.96057
8,8192,131072,bits + MAGMA,16,0.0054795378,195954816481.0543
8,8192,131072,bits + zero computation,4,0.004184610805400932,256592996083.2101
8,8192,131072,bits + zero computation,8,0.004187681856902893,256404822689.6857
8,8192,131072,bits + zero computation,16,0.004190969159906817,256203704449.0859
8,8192,131072,bits-fused,4,0.0019602959,547744768532.1385
8,8192,131072,bits-fused,8,0.0024403987,439986230118.8736
8,8192,131072,bits-fused,16,0.0034416510999999996,311984507668.427
8,8192,131072,raftL2-fused,4,0.0046232973,232245896018.84354
8,8192,131072,raftL2-fused,8,0.0046231118,232255214766.8157
8,8192,131072,raftL2-fused,16,0.004780469,224610142644.9999
16,1024,1048576,bits + MAGMA,4,0.0051882681,206955732299.18478
16,1024,1048576,bits + MAGMA,8,0.0054696795,196307996474.01645
16,1024,1048576,bits + MAGMA,16,0.0056859991,188839604986.92303
16,1024,1048576,bits + zero computation,4,0.004217625807498314,254584420953.3824
16,1024,1048576,bits + zero computation,8,0.004224479961097658,254171361655.8396
16,1024,1048576,bits + zero computation,16,0.004239654268296347,253261647306.7909
16,1024,1048576,bits-fused,4,0.0028536109,376274783643.4183
16,1024,1048576,bits-fused,8,0.0038462758,279164022507.1743
16,1024,1048576,bits-fused,16,0.0060321344999999995,178003627737.41205
16,1024,1048576,raftL2-fused,4,0.006360062999999999,168825658487.97412
16,1024,1048576,raftL2-fused,8,0.0064303574,166980115910.82013
16,1024,1048576,raftL2-fused,16,0.006453837299999999,166372620518.33878
16,2048,524288,bits + MAGMA,4,0.005170522,207666039134.9268
16,2048,524288,bits + MAGMA,8,0.0054065505,198600165484.44336
16,2048,524288,bits + MAGMA,16,0.0056363999,190501356016.27557
16,2048,524288,bits + zero computation,4,0.004208608055899032,255129917003.0767
16,2048,524288,bits + zero computation,8,0.004215950057899093,254685612792.83057
16,2048,524288,bits + zero computation,16,0.004220922361899216,254385589674.02255
16,2048,524288,bits-fused,4,0.0022877697,469339996941.1257
16,2048,524288,bits-fused,8,0.0031192284,344233152019.2622
16,2048,524288,bits-fused,16,0.0048437515,221675662758.50443
16,2048,524288,raftL2-fused,4,0.006334794600000001,169499074839.7746
16,2048,524288,raftL2-fused,8,0.0063409408,169334781362.41235
16,2048,524288,raftL2-fused,16,0.006386465699999999,168127705438.0798
16,4096,262144,bits + MAGMA,4,0.0050989036,210582883739.94754
16,4096,262144,bits + MAGMA,8,0.0053092208,202240943529.79254
16,4096,262144,bits + MAGMA,16,0.0055758877,192568767839.42404
16,4096,262144,bits + zero computation,4,0.004200700755299779,255610167576.28415
16,4096,262144,bits + zero computation,8,0.004199111156700588,255706930331.3424
16,4096,262144,bits + zero computation,16,0.004211777959502207,254937898988.1286
16,4096,262144,bits-fused,4,0.0019792449,542500740560.2005
16,4096,262144,bits-fused,8,0.0027184428,394984151956.4068
16,4096,262144,bits-fused,16,0.0039030702,275101847771.01886
16,4096,262144,raftL2-fused,4,0.0058761496,182728810035.74176
16,4096,262144,raftL2-fused,8,0.0058987341,182029195721.8414
16,4096,262144,raftL2-fused,16,0.0060417594,177720056843.04477
16,8192,131072,bits + MAGMA,4,0.005097646900000001,210634797792.6835
16,8192,131072,bits + MAGMA,8,0.0053019065,202519947117.13608
16,8192,131072,bits + MAGMA,16,0.0055390977000000004,193847785714.26892
16,8192,131072,bits + zero computation,4,0.004195121705400932,255950100951.2146
16,8192,131072,bits + zero computation,8,0.0041956387569028935,255918558820.97128
16,8192,131072,bits + zero computation,16,0.004200264259906817,255636730824.127
