k,query_count,point_count,algorithm,dim,time,throughput
32,64,16777216,AIR Top-$K$,1,0.0058802495,182601405603.62277
32,64,16777216,BlockSelect,1,0.07096328910000001,15130947812.845951
32,64,16777216,GridSelect,1,0.0044825752,239536823386.69968
32,64,16777216,bits,1,0.0036567508999999997,293632750319.4161
32,256,4194304,AIR Top-$K$,1,0.0058729044,182829780781.0391
32,256,4194304,BlockSelect,1,0.018381146600000002,58415388733.148994
32,256,4194304,GridSelect,1,0.0056436,190258314550.99582
32,256,4194304,bits,1,0.0028885372,371725115397.5098
32,1024,1048576,AIR Top-$K$,1,0.0059957827,179082845013.71274
32,1024,1048576,BlockSelect,1,0.0056668582,189477446956.41052
32,1024,1048576,GridSelect,1,0.0047223443,227374743514.57175
32,1024,1048576,bits,1,0.0026677848,402484422281.73724
32,4096,262144,AIR Top-$K$,1,0.0059909982,179225863229.26953
32,4096,262144,BlockSelect,1,0.0056357541,190523185530.75266
32,4096,262144,GridSelect,1,0.0042532757,252450558048.70587
32,4096,262144,bits,1,0.0026071278999999998,411848541837.936
64,64,16777216,AIR Top-$K$,1,0.0058710946,182886139153.67673
64,64,16777216,BlockSelect,1,0.0698257117,15377456210.01669
64,64,16777216,GridSelect,1,0.0053944698,199044922635.3997
64,64,16777216,bits,1,0.0036557353,293714324447.9435
64,256,4194304,AIR Top-$K$,1,0.0058986227,182032633482.38904
64,256,4194304,BlockSelect,1,0.0184196209,58293372585.10027
64,256,4194304,GridSelect,1,0.007051437200000001,152272762778.06174
64,256,4194304,bits,1,0.0028983721000000002,370463759294.3984
64,1024,1048576,AIR Top-$K$,1,0.0060116928,178608897646.9323
64,1024,1048576,BlockSelect,1,0.0094799059,113265029772.07822
64,1024,1048576,GridSelect,1,0.00559869,191784475296.8998
64,1024,1048576,bits,1,0.0026858271,399780694743.90216
64,4096,262144,AIR Top-$K$,1,0.005999267,178978835914.45422
64,4096,262144,BlockSelect,1,0.006662171,161169958561.556
64,4096,262144,GridSelect,1,0.0056118158,191335899514.02182
64,4096,262144,bits,1,0.0026238794,409219198107.9618
