k,query_count,point_count,algorithm,dim,time,throughput
32,64,16777216,AIR Top-$K$,1,0.005552149399999999,193392098562.76566
32,64,16777216,BlockSelect,1,0.058663274,18303475936.239086
32,64,16777216,GridSelect,1,0.0038053036999999997,282169810519.9856
32,64,16777216,bits,1,0.0028044785999999998,382866827366.7697
32,256,4194304,AIR Top-$K$,1,0.0056287303999999995,190760926122.87845
32,256,4194304,BlockSelect,1,0.0148570744,72271417312.14592
32,256,4194304,GridSelect,1,0.0053881835,199277144885.6558
32,256,4194304,bits,1,0.0023408539,458696642280.8361
32,1024,1048576,AIR Top-$K$,1,0.0054277427,197824746556.24335
32,1024,1048576,BlockSelect,1,0.0041454904,259014427822.5804
32,1024,1048576,GridSelect,1,0.0042443581,252980968783.00632
32,1024,1048576,bits,1,0.0022469082000000002,477875252758.4349
32,4096,262144,AIR Top-$K$,1,0.005393447399999999,199082654259.31476
32,4096,262144,BlockSelect,1,0.0042812128,250803189227.12744
32,4096,262144,GridSelect,1,0.0042969524,249884505120.41977
32,4096,262144,bits,1,0.0022451191000000003,478256064010.1453
64,64,16777216,AIR Top-$K$,1,0.0055525728,193377351846.69708
64,64,16777216,BlockSelect,1,0.059125062000000006,18160519205.882607
64,64,16777216,GridSelect,1,0.0038627953,277970159071.07477
64,64,16777216,bits,1,0.0028130147,381705017040.9703
64,256,4194304,AIR Top-$K$,1,0.0056661297,189501808262.5253
64,256,4194304,BlockSelect,1,0.015039211299999999,71396152536.27031
64,256,4194304,GridSelect,1,0.005486714,195698522649.44006
64,256,4194304,bits,1,0.0023492554,457056233221.8115
64,1024,1048576,AIR Top-$K$,1,0.0054357318,197533996066.54617
64,1024,1048576,BlockSelect,1,0.0043547427,246568373373.7013
64,1024,1048576,GridSelect,1,0.0043354561,247665251183.14542
64,1024,1048576,bits,1,0.0022558419,475982746840.5476
64,4096,262144,AIR Top-$K$,1,0.005401337500000001,198791840724.6353
64,4096,262144,BlockSelect,1,0.004696876500000001,228607634030.82877
64,4096,262144,GridSelect,1,0.004375257,245412286409.6898
64,4096,262144,bits,1,0.0022614335,474805836209.6431
128,64,16777216,AIR Top-$K$,1,0.0055797786,192434485482.99033
128,64,16777216,BlockSelect,1,0.0586712487,18300988095.383762
128,64,16777216,GridSelect,1,0.0039620178,271008833933.05298
128,64,16777216,bits,1,0.0028231061999999998,380340570963.9971
128,256,4194304,AIR Top-$K$,1,0.0056758081000000005,189178669377.49356
128,256,4194304,BlockSelect,1,0.014953897099999999,71803478171.58646
128,256,4194304,GridSelect,1,0.0056026908,191647524792.90845
128,256,4194304,bits,1,0.0023632079,454357749904.2721
128,1024,1048576,AIR Top-$K$,1,0.0054397741,197387208413.6729
128,1024,1048576,BlockSelect,1,0.0044994164,238640243210.2083
128,1024,1048576,GridSelect,1,0.004377977900000001,245259763417.26163
128,1024,1048576,bits,1,0.00232457,461909868921.99414
128,4096,262144,AIR Top-$K$,1,0.005423265,197988079874.393
128,4096,262144,BlockSelect,1,0.0050842035,211191747930.62473
128,4096,262144,GridSelect,1,0.0043863897999999995,244789422043.61322
128,4096,262144,bits,1,0.0023120241,464416363133.931
