k,query_count,point_count,algorithm,dim,time,throughput
32,64,16777216,AIR Top-$K$,1,0.0118346892,90728350010.2394
32,64,16777216,BlockSelect,1,0.0589670138,18209194510.71134
32,64,16777216,bits,1,0.0050942497,210775263725.29404
32,256,4194304,AIR Top-$K$,1,0.0117106996,91688956311.37186
32,256,4194304,BlockSelect,1,0.017652057,60828141672.10088
32,256,4194304,bits,1,0.0050939511,210787619064.50183
32,1024,1048576,AIR Top-$K$,1,0.0146507769,73289070697.67747
32,1024,1048576,BlockSelect,1,0.0124951529,85932667858.75024
32,1024,1048576,bits,1,0.0051808307,207252829937.0987
32,4096,262144,AIR Top-$K$,1,0.013420997300000001,80004622607.29312
32,4096,262144,BlockSelect,1,0.0088604583,121183553676.90178
32,4096,262144,bits,1,0.0050132743,214179747555.40503
64,64,16777216,AIR Top-$K$,1,0.0118605343,90530645318.39851
64,64,16777216,BlockSelect,1,0.0588451689,18246898497.728672
64,64,16777216,bits,1,0.005150380899999999,208478138772.2217
64,256,4194304,AIR Top-$K$,1,0.0117412693,91450233919.7688
64,256,4194304,BlockSelect,1,0.0176670991,60776351449.79744
64,256,4194304,bits,1,0.0050673639999999995,211893565175.10883
64,1024,1048576,AIR Top-$K$,1,0.0146899802,73093483407.14578
64,1024,1048576,BlockSelect,1,0.0126167639,85104376408.2801
64,1024,1048576,bits,1,0.005203534,206348574641.7723
64,4096,262144,AIR Top-$K$,1,0.013530614699999999,79356470330.94513
64,4096,262144,BlockSelect,1,0.009040524,118769865994.49324
64,4096,262144,bits,1,0.0050284955,213531427839.59937
128,64,16777216,AIR Top-$K$,1,0.0119260849,90033052171.2117
128,64,16777216,BlockSelect,1,0.059255770799999996,18120459990.70862
128,64,16777216,bits,1,0.005271764,203677900604.04828
128,256,4194304,AIR Top-$K$,1,0.011774143800000001,91194896396.628
128,256,4194304,BlockSelect,1,0.017757067600000002,60468420134.86505
128,256,4194304,bits,1,0.0051004274,210519970149.9525
128,1024,1048576,AIR Top-$K$,1,0.014592670399999999,73580900175.7485
128,1024,1048576,BlockSelect,1,0.0127235022,84390430175.74202
128,1024,1048576,bits,1,0.0052471114,204634844230.6752
128,4096,262144,AIR Top-$K$,1,0.013602006699999999,78939956999.13896
128,4096,262144,BlockSelect,1,0.009967491200000001,107724381437.12631
128,4096,262144,bits,1,0.0050600615,212199362399.05383
256,64,16777216,AIR Top-$K$,1,0.0119833592,89602740440.25986
256,64,16777216,BlockSelect,1,0.0599086517,17922984302.449257
256,64,16777216,bits,1,0.0052045739,206307345160.379
256,256,4194304,AIR Top-$K$,1,0.0117875017,91091551995.27989
256,256,4194304,BlockSelect,1,0.018228548,58904407745.477036
256,256,4194304,bits,1,0.0051710887,207643280998.0614
256,1024,1048576,AIR Top-$K$,1,0.0146212444,73437102521.86195
256,1024,1048576,BlockSelect,1,0.0135471014,79259894223.57169
256,1024,1048576,bits,1,0.005256997500000001,204250016097.5918
256,4096,262144,AIR Top-$K$,1,0.0136615933,78595651357.88371
256,4096,262144,BlockSelect,1,0.0111570059,96239244975.21329
256,4096,262144,bits,1,0.0051938104,206734890438.0491
512,64,16777216,AIR Top-$K$,1,0.0120489502,89114969036.88754
512,64,16777216,BlockSelect,1,0.060998386800000005,17602790505.272835
512,64,16777216,bits,1,0.0053589048,200365907601.1203
512,256,4194304,AIR Top-$K$,1,0.011817445499999999,90860738388.85063
512,256,4194304,BlockSelect,1,0.018570183400000002,57820744193.61954
512,256,4194304,bits,1,0.0051346273,209117772579.1315
512,1024,1048576,AIR Top-$K$,1,0.0146410655,73337683244.43327
512,1024,1048576,BlockSelect,1,0.0176253817,60920202596.236534
512,1024,1048576,bits,1,0.0055146224,194708131602.9906
512,4096,262144,AIR Top-$K$,1,0.013911327400000001,77184713803.80278
512,4096,262144,BlockSelect,1,0.0172764592,62150572149.64511
512,4096,262144,bits,1,0.0055454016,193627423485.4334
1024,64,16777216,AIR Top-$K$,1,0.012101954600000001,88724661386.51685
1024,64,16777216,BlockSelect,1,0.0623797582,17212984708.23505
1024,64,16777216,bits,1,0.0055287144,194211844981.53857
1024,256,4194304,AIR Top-$K$,1,0.0118892107,90312288266.53732
1024,256,4194304,BlockSelect,1,0.0336498997,31909213209.333874
1024,256,4194304,bits,1,0.0053636325999999995,200189294098.92844
1024,1024,1048576,AIR Top-$K$,1,0.014693212,73077406356.0779
1024,1024,1048576,BlockSelect,1,0.029271244000000002,36682480047.653595
1024,1024,1048576,bits,1,0.005738659,187106748109.61932
1024,4096,262144,AIR Top-$K$,1,0.0141554664,75853510838.75272
1024,4096,262144,BlockSelect,1,0.0310708683,34557831266.01583
1024,4096,262144,bits,1,0.0069238918,155077787899.57407
2048,64,16777216,AIR Top-$K$,1,0.0121131932,88642342796.94308
2048,64,16777216,BlockSelect,1,0.12318023739999999,8716835156.870708
2048,64,16777216,bits,1,0.0054556833,196811611847.04398
2048,256,4194304,AIR Top-$K$,1,0.011984018,89597814689.53067
2048,256,4194304,BlockSelect,1,0.0651834872,16472604797.983253
2048,256,4194304,bits,1,0.005637456000000001,190465668202.111
2048,1024,1048576,AIR Top-$K$,1,0.0148979797,72072982083.60426
2048,1024,1048576,BlockSelect,1,0.052325789,20520317887.609875
2048,1024,1048576,bits,1,0.006217171400000001,172705842402.86505
2048,4096,262144,AIR Top-$K$,1,0.0146038274,73524686001.15063
2048,4096,262144,BlockSelect,1,0.0793553511,13530805536.313732
2048,4096,262144,bits,1,0.0090453195,118706898523.59555
