algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.109828193,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.109829966,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.109829495,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.109828685,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.109831649,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.109835314,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.109833492,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.109834293,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.109823827,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.109828173,ampere01,108415,random
bits (random data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.014850865,ampere01,108415,random
bits (random data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.014848692,ampere01,108415,random
bits (random data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.014848892,ampere01,108415,random
bits (random data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.014843053,ampere01,108415,random
bits (random data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.01483445,ampere01,108415,random
bits (random data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.014852718,ampere01,108415,random
bits (random data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.014838106,ampere01,108415,random
bits (random data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.01483366,ampere01,108415,random
