algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.163114158,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.163101569,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.163097072,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.163105074,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.163121929,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.16310228,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.163101107,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.163086627,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.163118063,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.163091824,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.024357528,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.024369886,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.02436553,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.024350938,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.024357779,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.024363397,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.024376386,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.024352059,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.024371369,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.024377248,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,64,"1,1,1",1,selection,0.163110732,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,64,"1,1,1",1,selection,0.163086425,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,64,"1,1,1",1,selection,0.163085664,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,64,"1,1,1",1,selection,0.163132095,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,64,"1,1,1",1,selection,0.163107277,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,64,"1,1,1",1,selection,0.163092014,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,64,"1,1,1",1,selection,0.163099346,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,64,"1,1,1",1,selection,0.163096191,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,64,"1,1,1",1,selection,0.163114298,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,64,"1,1,1",1,selection,0.163120568,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,64,"1,1,1",1,selection,0.024399921,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,64,"1,1,1",1,selection,0.024383847,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,64,"1,1,1",1,selection,0.024397368,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,64,"1,1,1",1,selection,0.024386401,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,64,"1,1,1",1,selection,0.024386211,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,64,"1,1,1",1,selection,0.024368935,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,64,"1,1,1",1,selection,0.024391539,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,64,"1,1,1",1,selection,0.024382245,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,64,"1,1,1",1,selection,0.024387953,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,64,"1,1,1",1,selection,0.024383066,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,128,"1,1,1",1,selection,0.16311542,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.163097292,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.163105215,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.163107247,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.163099045,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.16310294,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.163102259,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.163112055,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.163112595,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.163112165,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,128,"1,1,1",1,selection,0.024405981,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.024402365,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.024410938,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.024416136,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.024400273,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.024414744,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.024419061,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.024401764,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.02442563,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.024392821,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.16311564,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.163103692,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.163096491,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.163116251,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.163109952,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.16308866,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.163097422,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.16311589,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.163126396,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.163123762,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.024469127,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.024466913,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.024462276,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.024473794,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.024474155,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.024464761,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.024462787,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.024459171,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.024479122,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.024464359,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,512,"1,1,1",1,selection,0.145226453,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,512,"1,1,1",1,selection,0.145232893,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,512,"1,1,1",1,selection,0.145246714,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,512,"1,1,1",1,selection,0.145248466,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,512,"1,1,1",1,selection,0.145220274,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,512,"1,1,1",1,selection,0.145262719,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,512,"1,1,1",1,selection,0.145238832,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,512,"1,1,1",1,selection,0.145217631,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,512,"1,1,1",1,selection,0.145228857,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,512,"1,1,1",1,selection,0.145236899,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,512,"1,1,1",1,selection,0.024542378,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,512,"1,1,1",1,selection,0.024553535,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,512,"1,1,1",1,selection,0.024548337,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,512,"1,1,1",1,selection,0.024539433,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,512,"1,1,1",1,selection,0.024553315,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
